"Account Activity","Aktivitas Akun"
"All other open sessions for this account were terminated.","Semua sesi terbuka lainnya untuk akun ini telah dihentikan."
"We couldn't logout because of an error.","Kami Tidak Dapat Keluar Karena ada Kesalahan."
"Someone logged into this account from another device or browser. Your current session is terminated.","Seseorang Masuk Menggunakan Akun Ini dari perangkat atau peramban lain. Sesi Anda saat ini dihentikan."
"Your current session is terminated by another user of this account.","Sesi Anda saat ini telah dihentikan oleh pengguna lain dari akun ini."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","Sesi Anda saat Ini telah kadaluarsa."
"By IP and Email","Melalui IP dan Email"
"By IP","Melalui IP"
"By Email","Melalui Email"
"None","Tidak ada"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Kelas Pengecekan Keamanan salah. Harus Menerapkan Seperti Yang ditampilkan di Halaman Cek Keamanan"
"some error","beberapa kesalahan"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Akun administrator ini terbuka di lebih dari satu lokasi. Perhatikan bahwa lokasi lain mungkin berbeda dengan peramban atau sesi pada komputer yang sama."
"Concurrent session information:","Sesi Informasi Bersamaan:"
"IP Address","Alamat IP"
"Time of session start","Waktu sesi mulai"
"Are you sure that you want to log out all other sessions?","Apakah Anda Yakin Bahwa Anda Ingin keluar dari semua sesi lain?"
"Log out all other sessions","Keluar dari semua sesi"
"This computer is using IP address %1.","Komputer ini Menggunakan Alamat IP %1."
"Admin Account Sharing","Pengaturan akun admin"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Jika dipilih ke Ya, Anda dapat masuk dari beberapa komputer ke akun yang sama. Pengaturan standar Tidak meningkatkan keamanan."
"Password Reset Protection Type","Jenis Keamanan merubah kata sandi"
"Max Number of Password Reset Requests","Jumlah maksimal permintaan merubah kata sandi"
"Limit the number of password reset request per hour. Use 0 to disable.","Batas jumlah permintaan merubah kata sandi setiap waktu. Menggunakan 0 untuk tidak mengaktifkan."
"Min Time Between Password Reset Requests","Minimal Waktu Permintaan Merubah kata Sandi"
"Delay in minutes between password reset requests. Use 0 to disable.","Penundaan beberapa menit untuk permintaan mengubah kata sandi. Menggunakan 0 untuk tidak mengaktifkan."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
