"Account Activity","פעילויות בחשבון"
"All other open sessions for this account were terminated.","כל הסשנים אשר פתוחים עבור חשבון זה יושבתו."
"We couldn't logout because of an error.","לא התנתקת עקב שגיאה."
"Someone logged into this account from another device or browser. Your current session is terminated.","מישהו מחובר לחשבון הזה דרך התקן או דפדפן אחר. הסשן הנוכחי שלך יסתיים."
"Your current session is terminated by another user of this account.","הסשן הנוכחי שלך הסתיים על ידי משתמש אחר של חשבון זה."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","הסשן הנוכחי שלך פג."
"By IP and Email","על-ידי IP ודואר אלקטרוני"
"By IP","לפי IP"
"By Email","באמצעות דואר אלקטרוני"
"None","ללא"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Incorrect Security Checker class. It has to implement SecurityCheckerInterface"
"some error","תקלה"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer."
"Concurrent session information:","Concurrent session information:"
"IP Address","‏כתובת IP"
"Time of session start","שעת התחלת סשן"
"Are you sure that you want to log out all other sessions?","Are you sure that you want to log out all other sessions?"
"Log out all other sessions","ניתוק כל הפעולות האחרות"
"This computer is using IP address %1.","מחשב זה משתמש בכתובת IP %1."
"Admin Account Sharing","Admin Account Sharing"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","If set to Yes, you can log in from multiple computers into same account. Default setting No improves security."
"Password Reset Protection Type","סוג הגנת איפוס סיסמה"
"Max Number of Password Reset Requests","Max Number of Password Reset Requests"
"Limit the number of password reset request per hour. Use 0 to disable.","Limit the number of password reset request per hour. Use 0 to disable."
"Min Time Between Password Reset Requests","זמן מינימלי בין בקשות איפוס סיסמה"
"Delay in minutes between password reset requests. Use 0 to disable.","Delay in minutes between password reset requests. Use 0 to disable."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
