"Account Activity","Kontoaktivitet"
"All other open sessions for this account were terminated.","Alle andre åpne økter for denne kontoen ble avsluttet."
"We couldn't logout because of an error.","Vi kunne ikke logge ut på grunn av en feil."
"Someone logged into this account from another device or browser. Your current session is terminated.","En person logget inn på denne kontoen fra en annen enhet eller nettleser. Den gjeldende økten er avsluttet."
"Your current session is terminated by another user of this account.","Gjeldende økt er avsluttet av en annen bruker av denne kontoen."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","Din gjeldende økt har utløpt."
"By IP and Email","Ved IP og epost"
"By IP","Ved IP"
"By Email","Via e-post"
"None","Ingen"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Incorrect Security Checker class. It has to implement SecurityCheckerInterface"
"some error","en feil har oppstått"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer."
"Concurrent session information:","Concurrent session information:"
"IP Address","IP-adresse"
"Time of session start","Tidspunkt for øktstart"
"Are you sure that you want to log out all other sessions?","Er du sikker på at du ønsker å logge ut av alle øktene?"
"Log out all other sessions","Logg ut av alle økter"
"This computer is using IP address %1.","Denne datamaskinen bruker IP-adressen %1."
"Admin Account Sharing","Admin Konto Deling"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Hvis satt til Ja, kan du logge inn fra flere datamaskiner på samme konto. Standardinnstillingen Nei forbedrer sikkerheten."
"Password Reset Protection Type","Passordendring beskyttelsestype"
"Max Number of Password Reset Requests","Maks antall tillatte passordendringer"
"Limit the number of password reset request per hour. Use 0 to disable.","Begrens antall passord endringer per time. Bruk 0 for å deaktivere."
"Min Time Between Password Reset Requests","Minimumstid mellom passord nullstillingsforespørsler"
"Delay in minutes between password reset requests. Use 0 to disable.","Delay in minutes between password reset requests. Use 0 to disable."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
