"Account Activity","Accountactiviteit"
"All other open sessions for this account were terminated.","Alle andere open sessies voor dit account werden beëindigd."
"We couldn't logout because of an error.","We konden niet uitloggen als gevolg van een fout."
"Someone logged into this account from another device or browser. Your current session is terminated.","Iemand anders is met dit account ingelogd met een ander apparaat of in een andere browser. Je huidige sessie wordt beëindigd."
"Your current session is terminated by another user of this account.","Je huidige sessie werd beëindigd door een andere gebruiker van dit account."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","Je huidige sessie is verlopen."
"By IP and Email","Via IP en Email"
"By IP","Via IP"
"By Email","Per E-mail"
"None","Geen"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Onjuiste Security Checker class. Het moet SecurityCheckerInterface implementeren"
"some error","een fout"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Deze administrator-account is geopend in meer dan één locatie. Het is mogelijk dat de andere locaties mogelijk verschillende browsers of sessies op dezelfde computer zijn."
"Concurrent session information:","Gelijktijdige sessie-informatie:"
"IP Address","IP Adres"
"Time of session start","Sessie aanvangstijd"
"Are you sure that you want to log out all other sessions?","Weet je zeker dat je alle andere sessies wilt afmelden?"
"Log out all other sessions","Alle andere sessies afmelden"
"This computer is using IP address %1.","Deze computer maakt gebruik van IP-adres %1."
"Admin Account Sharing","Beheerdersaccount delen"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Indien ingesteld op Ja, kun je vanaf meerdere computers dezelfde rekening inloggen. Standaardinstelling No verbetert de beveiliging."
"Password Reset Protection Type","Passwoord resetten beveiliging methode"
"Max Number of Password Reset Requests","Maximaal aantal wachtwoord reset verzoeken"
"Limit the number of password reset request per hour. Use 0 to disable.","Beperk aantal wachtwoord reset verzoeken per uur. Gebruik 0 om uit te schakelen."
"Min Time Between Password Reset Requests","Minimale tijd tussen wachtwoord reset verzoeken"
"Delay in minutes between password reset requests. Use 0 to disable.","Vertraging in minuten tussen wachtwoord reset verzoeken. Gebruik 0 om uit te schakelen."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
