"Account Activity","Tilin tapahtumat"
"All other open sessions for this account were terminated.","Kaikki muut tämän tilin avoimet istunnot lopetettiin."
"We couldn't logout because of an error.","Ei voitu kirjautua ulos virheen vuoksi."
"Someone logged into this account from another device or browser. Your current session is terminated.","Joku kirjautui tälle tilille toisesta laitteesta tai selaimesta. Nykyinen istunto keskeytetään."
"Your current session is terminated by another user of this account.","Your current session is terminated by another user of this account."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","Nykyinen istuntosi on vanhentunut."
"By IP and Email","IP-osoitteen ja sähköpostin mukaan"
"By IP","By IP"
"By Email","Sähköpostitse"
"None","Ei mikään"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Incorrect Security Checker class. It has to implement SecurityCheckerInterface"
"some error","jokin virhe"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Järjestelmänvalvojatili on avoinna useammassa kuin yhdessä sijainnissa. Huomaa, että muut sijainnit saattavat olla eri selaimia tai istuntoja samassa tietokoneessa."
"Concurrent session information:","Concurrent session information:"
"IP Address","IP-osoite"
"Time of session start","Time of session start"
"Are you sure that you want to log out all other sessions?","Are you sure that you want to log out all other sessions?"
"Log out all other sessions","Kirjaudu ulos muista istunnoista"
"This computer is using IP address %1.","Tämä tietokone käyttää IP-osoitetta %1."
"Admin Account Sharing","Admin Account Sharing"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","If set to Yes, you can log in from multiple computers into same account. Default setting No improves security."
"Password Reset Protection Type","Password Reset Protection Type"
"Max Number of Password Reset Requests","Max Number of Password Reset Requests"
"Limit the number of password reset request per hour. Use 0 to disable.","Limit the number of password reset request per hour. Use 0 to disable."
"Min Time Between Password Reset Requests","Min Time Between Password Reset Requests"
"Delay in minutes between password reset requests. Use 0 to disable.","Delay in minutes between password reset requests. Use 0 to disable."
"Your account is temporarily disabled. Please try again later.","Tilisi on väliaikaisesti poistettu käytöstä. Yritä myöhemmin uudelleen."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
