"Account Activity","Fiók tevékenység"
"All other open sessions for this account were terminated.","Minden más nyitott kapcsolat ezzel a fiókkal meg lett szüntetve."
"We couldn't logout because of an error.","Nem sikerül kijelentkezni egy hiba miatt."
"Someone logged into this account from another device or browser. Your current session is terminated.","Valaki bejelentkezett a fiókba egy másik eszközről vagy böngészőből. Az aktuális kapcsolat megszűnik."
"Your current session is terminated by another user of this account.","Az aktuális kapcsolat megszakítva a fiók egy másik felhasználója által."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","Aktuális munkamenete lejárt."
"By IP and Email","IP és Email alapján"
"By IP","IP alapján"
"By Email","Email alapján"
"None","Egyik sem"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Helytelen biztonsági ellenőrző osztály. Implementálnia kell a SecurityCheckerInterface-t"
"some error","néhány hiba"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Ez az adminisztrátor fiók több helyen is nyitva van. Vegye figyelembe, hogy más helynek számíthat, ha különböző böngésző vagy munkamenet használja a fiókot ugyanazon a számítógépen."
"Concurrent session information:","Concurrent session information:"
"IP Address","IP cím"
"Time of session start","Time of session start"
"Are you sure that you want to log out all other sessions?","Biztos benne, hogy minden más munkamenetet ki akar jelentkeztetni?"
"Log out all other sessions","Minden más munkamenet kijelentkeztetése"
"This computer is using IP address %1.","Ez a számítógép a %1 IP címet használja."
"Admin Account Sharing","Admin fiók megosztása"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Ha Igazra van állítva, bejelentkezhet több számítógépről is ugyanabba a fiókba. Alapértelmezetten Nem, a biztonságot növeli."
"Password Reset Protection Type","Jelszó-visszaállítás védelem típusa"
"Max Number of Password Reset Requests","Jelszó-visszaállítási kérelmek max száma"
"Limit the number of password reset request per hour. Use 0 to disable.","Jelszó-visszaállítási kérelmek számának óránkénti limitálása. Használjon 0-t a kikapcsoláshoz."
"Min Time Between Password Reset Requests","Min idő Jelszó-visszaállítási kérelmek között"
"Delay in minutes between password reset requests. Use 0 to disable.","Késedelem percben jelszó-visszaállítási kérelmek között. Használjon 0-t a kikapcsoláshoz."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
