"Account Activity","Kontoaktivitet"
"All other open sessions for this account were terminated.","Alla andra öppna sessioner för det här kontot har avslutats."
"We couldn't logout because of an error.","Vi kunde inte logga ut på grund av ett fel."
"Someone logged into this account from another device or browser. Your current session is terminated.","Någon har loggat in i detta kontot från en annan apparat eller webbläsare. Din nuvarande session har avslutats."
"Your current session is terminated by another user of this account.","Den aktuella sessionen avslutas av en annan användare av detta konto."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","Din session har upphört."
"By IP and Email","Via IP och E-post"
"By IP","Via IP"
"By Email","Via e-post"
"None","Inga"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Felaktig Security Checker klass. Det måste genomföra ""SecurityCheckerInterface"""
"some error","några fel"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Administratörskontot är öppen i mer än en plats. Observera att andra platser kan vara olika webbläsare eller sessioner på samma dator."
"Concurrent session information:","Information om simultana sessioner:"
"IP Address","IP-adress"
"Time of session start","Tid för sessionsstart"
"Are you sure that you want to log out all other sessions?","Är du säker på att du vill logga ut alla andra sessioner?"
"Log out all other sessions","Logga ut alla andra sessioner"
"This computer is using IP address %1.","Denna dator använder IP-adressen %1."
"Admin Account Sharing","Admin-konto delning"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Om satt till ja så kan du logga in från flera datorer på samma konto, standardvärdet ""nej"" ökar säkerhet."
"Password Reset Protection Type","Skyddstyp för återställning av lösenord"
"Max Number of Password Reset Requests","Max antal återställa lösenordsförfrågningar"
"Limit the number of password reset request per hour. Use 0 to disable.","Begränsa antalet begäran om återställning av lösenord per timme. Använd 0 för att inaktivera."
"Min Time Between Password Reset Requests","Minimum tid mellan förfrågningar för lösenordsåterställning"
"Delay in minutes between password reset requests. Use 0 to disable.","Fördröjning i minuter mellan lösenords återställningsbegäran. Använd 0 för att inaktivera."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
