"Account Activity","Konta aktivitāte"
"All other open sessions for this account were terminated.","Visas šī konta atvērtās sesijas tika pārtrauktas."
"We couldn't logout because of an error.","Dēļ kļūdas nevarēja atslēgties."
"Someone logged into this account from another device or browser. Your current session is terminated.","Kāds ir pieslēdzies šim kontam no citas ierīcas vai pārlūka. Jūsu sesija tika pārtraukta."
"Your current session is terminated by another user of this account.","Jūsu sesiju pārtrauca cits šī konta lietotājs."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","Jūsu tekošā sesija ir beigusies."
"By IP and Email","Pēc IP un e-pasta"
"By IP","Pēc IP"
"By Email","Pēc e-pasta"
"None","Neviens"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Nepareiza Drošības pārbaudes klase. Tai ir jāiekļauj SecurityCheckerInterface"
"some error","nenoteikta kļūda"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Šis administratora konts ir atvērts vairāk kā vienā vietā. Citas vietas var būt cits pārlūks vai sesija uz tā paša datora."
"Concurrent session information:","Vienlaicīgu sesiju informācija:"
"IP Address","IP adrese"
"Time of session start","Sesijas sākuma laiks"
"Are you sure that you want to log out all other sessions?","Vai vēlaties atslēgt visas pārējās sesijas?"
"Log out all other sessions","Atslēgt pārējās sesijas"
"This computer is using IP address %1.","Šī datora IP adrese %1."
"Admin Account Sharing","Administratora konta koplietošana"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Ja ir ieslēgts Jā, tad ir iespēja pieslēgties no vairākiem datoriem vienam kontam. Noklusētais iestatījums Nē samazina drošības riskus."
"Password Reset Protection Type","Password Reset Protection Type"
"Max Number of Password Reset Requests","Max Number of Password Reset Requests"
"Limit the number of password reset request per hour. Use 0 to disable.","Limitēt paroles maiņas pieprasījumu skaitu stundā. Lietot 0 lai izslēgtu."
"Min Time Between Password Reset Requests","Min Time Between Password Reset Requests"
"Delay in minutes between password reset requests. Use 0 to disable.","Aizture starp paroles maiņas pieprasījumiem. Lietot 0 lai atslēgtu."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
