"Conditions Combination","Combinação de Condições"
"Product Attribute","Atributo do Produto"
"SKU","REF"
"Please choose a condition to add.","Por favor escolha uma condição para adicionar."
"Add to Cart","Adicionar ao carrinho"
"In stock","Em stock"
"Out of stock","Esgotado"
"Add to Wish List","Adicionar à Lista de Desejos"
"Add to Compare","Adicionar à Comparação"
"Catalog Products List","Lista de Produtos do Catálogo"
"List of Products","Lista de Produtos"
"Title","Título"
"Display Page Control","Mostrar Controlo da Página"
"Number of Products per Page","Número de Produtos por Página"
"Number of Products to Display","Número de Produtos a Exibir"
"Template","Modelo"
"Products Grid Template","Template da Grelha de Produtos"
"Cache Lifetime (Seconds)","Tempo de Vida da Cache (Segundos)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Condições"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
