"Conditions Combination","条件の組み合わせ"
"Product Attribute","商品属性"
"SKU","商品番号"
"Please choose a condition to add.","追加する条件を選択してください"
"Add to Cart","カートに入れる"
"In stock","在庫あり"
"Out of stock","在庫切れ"
"Add to Wish List","欲しいものリストに追加"
"Add to Compare","比較リストに入れる"
"Catalog Products List","商品リスト"
"List of Products","商品一覧"
"Title","タイトル"
"Display Page Control","ページコントロールを表示"
"Number of Products per Page","1ページあたりの商品表示件数"
"Number of Products to Display","商品表示点数"
"Template","テンプレート"
"Products Grid Template","商品グリッドテンプレート"
"Cache Lifetime (Seconds)","キャッシュ有効期間 (秒)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","設定されて居ない場合86400がディフォルトです。今すぐ更新するには、ブロックHTMLアウトプットキャッシュをクリアしてください。"
"Conditions","条件"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
ウィジェットの更新間隔 (秒)。
                    <br/>設定されていない場合は 86400 秒 (24 時間) です。ウィジェットを即座に更新するには、キャッシュ管理や HTML 出力をブロック キャッシュのクリアを行ってください。
                    <br/>ウィジェットはキャッシュが更新されるまでの間、指定された条件に一致する商品のリストを更新しません。
                "
