"Conditions Combination","Комбинация от условия"
"Product Attribute","Продукт атрибут"
"SKU","Кат. номер"
"Please choose a condition to add.","Моля изберете условие да добавите."
"Add to Cart","Добави в количка"
"In stock","На склад"
"Out of stock","Изчерпано количество"
"Add to Wish List","Добави към Списък с желани продукти"
"Add to Compare","Добави за сравнение"
"Catalog Products List","Каталог списък с продукти"
"List of Products","Списък на продуктите"
"Title","Заглавиe"
"Display Page Control","Контрол на показването на страница"
"Number of Products per Page","Брой продукти на страница"
"Number of Products to Display","Брой продукти за показване"
"Template","Шаблон"
"Products Grid Template","Продуктов шаблон тип мрежа"
"Cache Lifetime (Seconds)","Запазване на кеша (секунди)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Условия"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Време в секунди между обновяванията на уджета.
                    <br/>ако не е зададено, се приема за 86400 секунди (24 часа). За да се обновява постоянно, отидете на Управление на Кеша и изчистете кеша: HTML изход за Блокове.
                    <br/>Уиджетът няма да показва продукти, удовлетворяващи зададено условие преди да се обнови кеша.
                "
