"Conditions Combination","വ്യവസ്ഥകളുടെ സംയോജനം"
"Product Attribute","പ്രോഡക്റ്റ് ആട്രിബ്യൂട്ട്"
"SKU","SKU"
"Please choose a condition to add.","ചേർക്കാൻ ഒരു വ്യവസ്ഥ തിരഞ്ഞെടുക്കുക."
"Add to Cart","കാർട്ടിലേക്ക് ചേർക്കുക"
"In stock","സ്റ്റോക്കുണ്ട്"
"Out of stock","ശേഖരം തീർന്നു പോയി"
"Add to Wish List","വിഷ് ലിസ്റ്റിലേക്ക് ചേർക്കുക"
"Add to Compare","താരതമ്യം ചെയ്യാൻ ചേർക്കുക"
"Catalog Products List","കാറ്റലോഗ് ഉൽപ്പന്നങ്ങളുടെ പട്ടിക"
"List of Products","ഉൽപ്പന്നങ്ങളുടെ പട്ടിക"
"Title","ശീർഷകം"
"Display Page Control","പേജ് നിയന്ത്രണം പ്രദർശിപ്പിക്കുക"
"Number of Products per Page","ഓരോ പേജിലേയും ഉൽപ്പന്നങ്ങളുടെ എണ്ണം"
"Number of Products to Display","പ്രദർശിപ്പിക്കേണ്ട ഉൽപ്പന്നങ്ങളുടെ എണ്ണം"
"Template","ടെംപ്ലേറ്റ്"
"Products Grid Template","ഉൽപ്പന്നങ്ങളുടെ ഗ്രിഡ് ടെംപ്ലേറ്റ്"
"Cache Lifetime (Seconds)","കാഷെ ലൈഫ് ടൈം (സെക്കൻഡ്)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","വ്യവസ്ഥകൾ"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
