"Conditions Combination","Ketentuan Kombinasi"
"Product Attribute","Atribut Produk"
"SKU","SKU"
"Please choose a condition to add.","Silakan pilih kondisi untuk ditambahkan."
"Add to Cart","Masukkan ke keranjang"
"In stock","Tersedia"
"Out of stock","Habis terjual"
"Add to Wish List","Tambahkan ke Daftar Keinginan"
"Add to Compare","Tambahkan untuk membandingkan"
"Catalog Products List","Daftar Produk Katalog"
"List of Products","Daftar Produk"
"Title","Judul"
"Display Page Control","Kontrol halaman tampilan"
"Number of Products per Page","Jumlah Produk per Halaman"
"Number of Products to Display","Jumlah Produk yang Akan Ditampilkan"
"Template","Template"
"Products Grid Template","Template Grid Produk"
"Cache Lifetime (Seconds)","Cache Lifetime (Detik)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Kondisi"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
