"Conditions Combination","Villkorskombination"
"Product Attribute","Produktattribut"
"SKU","Art.nr"
"Please choose a condition to add.","Välj ett villkor för att lägga till."
"Add to Cart","Lägg till i kundvagn"
"In stock","I lager"
"Out of stock","Ej i lager"
"Add to Wish List","Lägg till i önskelista"
"Add to Compare","Lägg till i jämför"
"Catalog Products List","Kataloglistan produkter"
"List of Products","Produktlista"
"Title","Titel"
"Display Page Control","Visa sidkontroll"
"Number of Products per Page","Produkter per sida"
"Number of Products to Display","Produkter att visa"
"Template","Mall"
"Products Grid Template","Rutnätsmall för produkter"
"Cache Lifetime (Seconds)","Cache-livstid (sekunder)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Villkor"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
