"Conditions Combination","Tingimuste kombinatsioon"
"Product Attribute","Tooteatribuut"
"SKU","Laokood"
"Please choose a condition to add.","Palun valige lisatav tingimus."
"Add to Cart","Lisa ostukorvi"
"In stock","Laos"
"Out of stock","Laost otsas"
"Add to Wish List","Lisa soovinimekirja"
"Add to Compare","Lisa võrdlusesse"
"Catalog Products List","Catalog Products List"
"List of Products","List of Products"
"Title","Pealkiri"
"Display Page Control","Display Page Control"
"Number of Products per Page","Tooteid lehe kohta"
"Number of Products to Display","Kuvatavate toodete hulk"
"Template","Mall"
"Products Grid Template","Products Grid Template"
"Cache Lifetime (Seconds)","Vahemälu eluiga (sekundites)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Tingimused"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
