"Conditions Combination","Noteikumu kombinācija"
"Product Attribute","Produkta atribūts"
"SKU","Artikuls"
"Please choose a condition to add.","Izvēlieties noteikumu lai pievienotu."
"Add to Cart","Pievienot grozam"
"In stock","Noliktavā"
"Out of stock","Nav pieejams"
"Add to Wish List","Pievienot vēlmju sarakstam"
"Add to Compare","Pievienot salīdzināšanai"
"Catalog Products List","Kataloga produktu saraksts"
"List of Products","Produktu saraksts"
"Title","Nosaukums"
"Display Page Control","Rādīt lapas vadību"
"Number of Products per Page","Produktu skaits lapā"
"Number of Products to Display","Rādāmo produktu skaits"
"Template","Šablons"
"Products Grid Template","Produktu režģa šablons"
"Cache Lifetime (Seconds)","Kešatmiņas dzīves ilgums (sekundes)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Nosacījumi"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
