"Conditions Combination","Ehtojen yhdistäminen"
"Product Attribute","Tuotteen attribuutti"
"SKU","Tuotenro"
"Please choose a condition to add.","Valitse Lisättävä ehto."
"Add to Cart","Lisää ostoskoriin"
"In stock","Varastossa"
"Out of stock","Ei varastossa"
"Add to Wish List","Lisää toivelistaan"
"Add to Compare","Lisää vertailuun"
"Catalog Products List","Catalog Products List"
"List of Products","List of Products"
"Title","Otsikko"
"Display Page Control","Display Page Control"
"Number of Products per Page","Tuotteita per sivu"
"Number of Products to Display","Näytettävien tuotteiden määrä"
"Template","Malli"
"Products Grid Template","Products Grid Template"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Ehdot"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
