"Conditions Combination","Kết hợp Điều kiện"
"Product Attribute","Thuộc tính sản phẩm"
"SKU","MÃ SẢN PHẨM"
"Please choose a condition to add.","Vui lòng chọn một điều kiện để thêm."
"Add to Cart","Thêm vào giỏ hàng"
"In stock","Còn trong kho"
"Out of stock","Tạm hết hàng"
"Add to Wish List","Thêm vào danh sách yêu thích"
"Add to Compare","Thêm vào so sánh"
"Catalog Products List","Danh mục danh sách sản phẩm"
"List of Products","Danh sách sản phẩm"
"Title","Tiêu đề"
"Display Page Control","Hiển thị điều khiển Trang"
"Number of Products per Page","Số sản phẩm mỗi trang"
"Number of Products to Display","Số lượng sản phẩm để hiển thị"
"Template","Mẫu"
"Products Grid Template","Mẫu lưới sản phẩm"
"Cache Lifetime (Seconds)","Dòng đời Bộ nhớ cache (giây)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Điều kiện"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
