"Conditions Combination","ನಿಯಮಗಳ ಸಂಯೋಜನೆ"
"Product Attribute","Product Attribute"
"SKU","SKU"
"Please choose a condition to add.","Please choose a condition to add."
"Add to Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"In stock","ದಾಸ್ತಾನಿನಲ್ಲಿದೆ"
"Out of stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"Add to Wish List","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Add to Compare","ಹೋಲಿಸಲು ಸೇರಿಸಿ"
"Catalog Products List","Catalog Products List"
"List of Products","ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿ"
"Title","ಶೀರ್ಷಿಕೆ"
"Display Page Control","Display Page Control"
"Number of Products per Page","ಪ್ರತಿ ಪುಟಕ್ಕೆ ಉತ್ಪನ್ನಗಳ ಸಂಖ್ಯೆ"
"Number of Products to Display","ಪ್ರದರ್ಶಿಸಲು ಉತ್ಪನ್ನಗಳ ಸಂಖ್ಯೆ"
"Template","ಮಾದರಿ"
"Products Grid Template","Products Grid Template"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Conditions","ನಿಯಮಗಳು"
