"Conditions Combination","ترکیب شرط‌ها"
"Product Attribute","ویژگی محصول"
"SKU","کد محصول"
"Please choose a condition to add.","لطفا یک شرط برای افزودن انتخاب کنید."
"Add to Cart","اضافه کردن به سبد خرید"
"In stock","موجود"
"Out of stock","در انبار موجود نیست"
"Add to Wish List","اضافه کردن به لیست علاقه مندی"
"Add to Compare","افزودن به مقایسه"
"Catalog Products List","لیست کاتالوگ محصولات"
"List of Products","لیست محصولات"
"Title","عنوان"
"Display Page Control","کنترل صفحه نمایش"
"Number of Products per Page","تعداد محصولات در هر صفحه"
"Number of Products to Display","تعداد محصولات برای نمایش"
"Template","قالب"
"Products Grid Template","قالب مشبک محصولات"
"Cache Lifetime (Seconds)","طول عمر حافظه نهان (ثانیه)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","شرایط"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
