"Conditions Combination","Feltételegyüttes"
"Product Attribute","Termékjellemzők"
"SKU","Cikkszám"
"Please choose a condition to add.","Válasszon feltételt."
"Add to Cart","Kosárba"
"In stock","Raktáron"
"Out of stock","Nincs raktáron"
"Add to Wish List","Hozzáadás a kívánságlistához"
"Add to Compare","Összehasonlításhoz ad"
"Catalog Products List","Katalógus termékek listája"
"List of Products","Termékek listája"
"Title","Cím"
"Display Page Control","Oldal vezérlőelem megjelenítése"
"Number of Products per Page","Oldalankénti termékek száma"
"Number of Products to Display","Megjelenített termékek száma"
"Template","Sablon"
"Products Grid Template","Termék rács sablon"
"Cache Lifetime (Seconds)","Cache élettartama (másodperc)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Feltételek"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    A widget frissítései közötti idő másodpercben.
                    <br/>Ha nincs beállítva, akkor 86400 másodperc (24 óra). A widget azonnali frissítéséhez lépjen a Cache Management (Cache kezelés) menüpontba, és törölje a Blocks HTML Output cache-t.
                    <br/>A Widget nem jeleníti meg a megadott feltételeknek megfelelő termékeket a gyorsítótár frissítéséig.
                "
