"Conditions Combination","Combinație Condiții"
"Product Attribute","Atribut produs"
"SKU","SKU"
"Please choose a condition to add.","Vă rugăm să alegeți o condiție de adăugat."
"Add to Cart","Adaugă în coș"
"In stock","În stoc"
"Out of stock","Stoc epuizat"
"Add to Wish List","Adaugă la Favorite"
"Add to Compare","Adaugă pentru comparare"
"Catalog Products List","Lista de produse catalogate"
"List of Products","Lista de produse"
"Title","Titlu"
"Display Page Control","Afișează controlul paginii"
"Number of Products per Page","Număr de produse pe pagină"
"Number of Products to Display","Numărul de produse afișate"
"Template","Șablon"
"Products Grid Template","Șablon grilă produse"
"Cache Lifetime (Seconds)","Durata Cache (Secunde)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 în mod implicit, dacă nu este setat. Pentru a reîmprospăta instantaneu, șterge memoria cache de ieșire HTML."
"Conditions","Condiții"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Timp în secunde între actualizările widgetului.
                    <br/>Dacă nu este setat, este de 86400 secunde (24 ore). Pentru a actualiza widget instantaneu, mergi la Management Cache şi șterge HTML output cache.
                    <br/>Widgetul nu va afișa produsele care încep să corespundă condițiilor specificate până când cache-ul nu va fi reîmprospătat.
                "
