"Conditions Combination","Combinación de condiciones"
"Product Attribute","Atributos del artículo"
"SKU","SKU"
"Please choose a condition to add.","Por favor, elige una condición para añadir."
"Add to Cart","Añadir al carrito"
"In stock","Disponible"
"Out of stock","No está disponible"
"Add to Wish List","Añadir a la Lista de Deseos"
"Add to Compare","Añadir para comparar"
"Catalog Products List","Lista de productos de catálogo"
"List of Products","Lista de productos"
"Title","Título"
"Display Page Control","Mostrar control de página"
"Number of Products per Page","Número de productos por página"
"Number of Products to Display","Número de artículos a mostrar"
"Template","Plantilla"
"Products Grid Template","Plantilla de Cuadrícula de Productos"
"Cache Lifetime (Seconds)","Duración de caché (segundos)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 por defecto, si no está configurado. Para refrescar inmediatamente, borra la caché de salida de bloques HTML."
"Conditions","Condiciones"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
