"Conditions Combination","Συνδυασμός Συνθηκών"
"Product Attribute","Χαρακτηριστικό Προϊόντος"
"SKU","Κωδικός"
"Please choose a condition to add.","Παρακαλώ επιλέξτε μια συνθήκη για προσθήκη."
"Add to Cart","Προσθήκη στο Καλάθι"
"In stock","Σε απόθεμα"
"Out of stock","Εξαντλημένο"
"Add to Wish List","Προσθήκη στη Λίστα Επιθυμιών"
"Add to Compare","Προσθήκη για Σύγκριση"
"Catalog Products List","Λίστα Καταλόγου Προϊόντων"
"List of Products","Λίστα Προϊόντων"
"Title","Τίτλος"
"Display Page Control","Προβολή Σελίδας Ελέγχου"
"Number of Products per Page","Αριθμός των προϊόντων ανα Σελίδα"
"Number of Products to Display","Αριθμός των προϊόντων για Προβολή"
"Template","Πρότυπο"
"Products Grid Template","Πρότυπο Πλέγματος Προϊόντων"
"Cache Lifetime (Seconds)","Διάρκεια ζωής προσωρινής μνήμης cache (δευτερόλεπτα)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 από προεπιλογή, αν δεν ορίστηκε. Για να ανανεώσετε αμέσως, εκκαθαρίστε την προσωρινή μνήμη cache της ενότητας HTML εξόδου."
"Conditions","Συνθήκες"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
Χρόνος σε δευτερόλεπτα πριν από τις ενημερώσεις γραφικών στοιχείων.
                    <br/>Αν δεν οριστεί, ισούται με 86400 δευτερόλεπτα (24 ώρες). Για άμεση ενημέρωση γραφικού στοιχείου, πηγαίνετε στο 
 Διαχείριση Cache και εκκαθαρίστε την προσωρινή μνήμη cache της ενότητας HTML εξόδου.
                    <br/>Το Γραφικό στοιχείο δεν θα εμφανίσει προϊόντα που ξεκινούν να ταιριάζουν με τις καθορισμένες προϋποθέσεις μέχρι να ανανεωθεί η προσωρινή μνήμη cache.
                "
