"Conditions Combination","Услови Комбинације"
"Product Attribute","Атрибути производа"
"SKU","Шифра"
"Please choose a condition to add.","Молимо одаберите који ћете услов додати."
"Add to Cart","Додај у корпу"
"In stock","На стању"
"Out of stock","Нема на лагеру"
"Add to Wish List","Додај у листу жеља"
"Add to Compare","Додај за упоређивање"
"Catalog Products List","Каталог са Листом Производа"
"List of Products","Листа Производа"
"Title","Наслов"
"Display Page Control","Контрола приказа производа"
"Number of Products per Page","Број производа по страници"
"Number of Products to Display","Број производа за приказ"
"Template","Шаблон"
"Products Grid Template","Шаблон Мреже Производа"
"Cache Lifetime (Seconds)","Век трајања кеша (секунде)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Услови"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","Време у секундама између ажурирања додатака.
                    <бр/>Ако није подешен, једнак је 86400 секунда (24 сата). Ако желите да ажурирате додатак одмах, идите у Кеш Менаџмент и очистите кеш Блоцкс ХТМЛ Оутпут.
                    <бр/>Додатак неће приказати производе који се поклапају са дефинисаним условим док се кеш не освежи."
