"Conditions Combination","Combinaison de conditions"
"Product Attribute","Attribut du produit"
"SKU","REF"
"Please choose a condition to add.","Merci de choisir une condition à ajouter."
"Add to Cart","Ajouter au panier"
"In stock","En stock"
"Out of stock","Épuisé"
"Add to Wish List","Ajouter à la liste d'achats"
"Add to Compare","Ajouter au comparateur"
"Catalog Products List","Template de la grille de produits"
"List of Products","Liste des produits"
"Title","Titre"
"Display Page Control","Contrôle de l'affichage de la page"
"Number of Products per Page","Nombre de produits par page"
"Number of Products to Display","Nombre de produits à afficher"
"Template","Gabarit"
"Products Grid Template","Template de la grille de produits"
"Cache Lifetime (Seconds)","Durée de vie du cache (secondes)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 par défaut, si non renseigné. Pour actualiser, purgez le cache de sortie des blocs HTML."
"Conditions","Conditions"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Temps entre les mises à jour du widget.
                    <br/>Si non défini, égal à 86400 secondes (24 heures). Pour mettre à jour instantanément le widget, allez dans la gestion du cache et videz le cache des blocs HTML.
                    <br/>Le widget ne montrera pas les produits qui commencent à correspondre aux conditions spécifiées jusqu'à ce que le cache soit actualisé.
                "
