"Conditions Combination","Betingelsekombinasjon"
"Product Attribute","Produkt-attributt"
"SKU","Varenummer"
"Please choose a condition to add.","Velg en betingelse å legge til."
"Add to Cart","Legg i handlekurv"
"In stock","På lager"
"Out of stock","Ikke på lager"
"Add to Wish List","Legg til i ønskeliste"
"Add to Compare","Legg til sammenligning"
"Catalog Products List","Catalog Products List"
"List of Products","Liste over produkter"
"Title","Tittel"
"Display Page Control","Vis sidekontroll"
"Number of Products per Page","Antall varer per side"
"Number of Products to Display","Antall produkter å vise"
"Template","Mal"
"Products Grid Template","Products Grid Template"
"Cache Lifetime (Seconds)","Buffer levetid (sekunder)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Betingelser"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
