"Conditions Combination","Kombinácie podmienok"
"Product Attribute","Atribút produktu"
"SKU","Katalógové číslo"
"Please choose a condition to add.","Prosím zvoľte podmienku ktorú chcete pridať."
"Add to Cart","Pridať do košíka"
"In stock","Skladom"
"Out of stock","Vypredané"
"Add to Wish List","Pridať do zoznamu prianí"
"Add to Compare","Pridať k porovnaniu"
"Catalog Products List","Zoznam produktov katalogu"
"List of Products","Zoznam produktov"
"Title","Titulok"
"Display Page Control","Zobraziť ovládací prvok stránky"
"Number of Products per Page","Počet produktov na stránku"
"Number of Products to Display","Počet produktov k zobrazeniu"
"Template","Šablóna"
"Products Grid Template","Šablóna pre výpis produktov v mriežke"
"Cache Lifetime (Seconds)","Životnosť vyrovnávacej pamäte (v sekundách)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Podmienky"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
