"Save","Zapisz"
"Select...","Wybierz..."
"Status","Stan"
"ID","Identyfikator"
"Thumbnail","Miniatura"
"Name","Nazwa"
"SKU","SKU"
"Price","Cena"
"Quantity","Ilość"
"Weight","Waga"
"Attributes","Cechy"
"Attribute Code","Kod cechy"
"Attribute Label","Etykieta cechy"
"Required","Wymagane"
"System","System"
"Visible","Widoczny"
"Scope","Zakres"
"Searchable","Widoczny w wynikach wyszukiwania"
"Comparable","Porównywalne"
