"Save","保存"
"Select...","选择。。。"
"Status","状态"
"ID","编号ID"
"Thumbnail","缩略图"
"Name","名字"
"SKU","商品编号SKU"
"Price","价格"
"Quantity","数量"
"Weight","重量"
"Attributes","属性管理"
"Attribute Code","属性代码"
"Attribute Label","属性标签"
"Required","必填"
"System","系统"
"Visible","可比较"
"Scope","范围"
"Searchable","可搜索"
"Comparable","可比性"
