"Invalid store parameter.","Ugyldig lagerparameter."
"Current store is not active.","Gjeldende butikk er ikke aktiv."
"Requested store is inactive","Den forespurte butikken er inaktiv"
"Requested store is not found","Den forespurte butikken finnes ikke"
"Environment emulation nesting is not allowed.","Environment emulation nesting is not allowed."
"%1","%1"
"Website was not found","Website was not found"
"Group was not found","Group was not found"
"Store was not found","Store was not found"
"Class for type ""%1"" was not declared","Klasse for type ""%1"" ble ikke erklært"
"%1 should implement %2","%1 burde implementere %2"
"The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.","The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category."
"Invalid scope object","Ugyldig område-objekt"
"Group with the same code","Grupper med den samme koden"
"Store with the same code","Butikk med den samme koden"
"Website with the same code","Nettsider med den samme koden"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Nettstedkoden kan bare inneholde bokstaver (a-z), tall (0-9) eller understreking (_), det første tegnet må være en bokstav."
"Name is required","Navn er påkrevd"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Butikk-koden kan bare inneholde bokstaver (a-z), tall (0-9) eller understreking (_), det første tegnet må være en bokstav."
"Store is inactive","Butikken er inaktiv"
"Default store is inactive","Standardbutikken er inaktiv"
"All Store Views","Alle butikkvisninger"
"-- Please Select --","-Vennligst velg--"
"Admin","Admin"
"Default website is not defined","Default website is not defined"
"More than one default website is defined","More than one default website is defined"
"no such entity exception","ingen slike enhet unntak"
"Your Language:","Ditt språk:"
"Your Language","Ditt språk"
"Language","Språk"
"Select Store","Velg en butikk"
"Configuration","Innstillinger"
"Various XML configurations that were collected across modules and merged","Various XML configurations that were collected across modules and merged"
"Layouts","Layouts"
"Layout building instructions","Layout building instructions"
"Blocks HTML output","Blocks HTML output"
"Page blocks HTML","Page blocks HTML"
"Collections Data","Collections Data"
"Collection data files","Collection data files"
"Reflection Data","Reflection Data"
"API interfaces reflection data","API interfaces reflection data"
"Database DDL operations","Database DDL operations"
"Results of DDL queries, such as describing tables or indexes","Results of DDL queries, such as describing tables or indexes"
"Compiled Config","Compiled Config"
"Compilation configuration","Compilation configuration"
