"Edit Catalog Price Rules","ערוך כללי הנחה לקטלוג"
"Edit Cart Price Rules","ערוך כללי מחיר עגלה"
"Edit Automated Email Reminder Rules","לערוך כללים לתזכורת דואר אלקטרוני אוטומטיות"
