"Edit Catalog Price Rules","Muokkaa tuoteluettelon hintasääntöjä"
"Edit Cart Price Rules","Muokkaa ostoskorin hintasääntöjä"
"Edit Automated Email Reminder Rules","Muokkaa automaattisien sähköpostimuistutuksien sääntöjä"
