"Edit Catalog Price Rules","Bearbeiten der Katalog-Preisregeln"
"Edit Cart Price Rules","Warenkorb Preisregeln bearbeiten"
"Edit Automated Email Reminder Rules","Regeln für automatisierte Email-Erinnerung bearbeiten"
