"Edit Catalog Price Rules","Katalógus árszabályok szerkesztése"
"Edit Cart Price Rules","Kosár ár szabályok szerkesztése"
"Edit Automated Email Reminder Rules","Automatikus email emlékeztető szabályok szerkesztése"
