"Edit Catalog Price Rules","ویرایش قوانین قيمت کاتالوگ"
"Edit Cart Price Rules","ویرایش قوانین قيمت سبد خرید"
"Edit Automated Email Reminder Rules","ویرایش قوانین یادآوری خودکار ایمیل"
