"Edit Catalog Price Rules","Muuda kataloogihinnareegleid"
"Edit Cart Price Rules","Edit Cart Price Rules"
"Edit Automated Email Reminder Rules","Automaatne e-kiri meeldetuletuse reeglite muutimne"
