"Not you?","고객님이 아니세요?"
"Your shopping cart has been updated with new prices.","장바구니가 새로운 가격으로 업데이트 되었습니다."
"Welcome, %1!","%1님, 환영합니다!"
"We cannot load the configuration from file %1.","We cannot load the configuration from file %1."
"Method ""%1"" is not defined in ""%2""","Method ""%1"" is not defined in ""%2"""
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","자동 로그인"
"What's this?","이게 뭐죠?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","이 컴퓨터에서 로그인하지 않고도 장바구나를 확인하시려면 &quot;저장하기&quot;에 체크하세요."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","이 컴퓨터에서 로그인하지 않고도 장바구나를 확인하시려면 저장하기에 체크하세요."
"Persistent Shopping Cart","Persistent Shopping Cart"
"General Options","General Options"
"Enable Persistence","Enable Persistence"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Enable ""Remember Me""","Enable ""Remember Me"""
"""Remember Me"" Default Value","""Remember Me"" Default Value"
"Clear Persistence on Sign Out","Clear Persistence on Sign Out"
"Persist Shopping Cart","Persist Shopping Cart"
"&nbsp;","&nbsp;"
