"Not you?","Nejste to vy?"
"Your shopping cart has been updated with new prices.","Ceny produktů v košíku byly aktualizovány."
"Welcome, %1!","Přihlášen jako %1"
"We cannot load the configuration from file %1.","Nastavení nelze ze souboru %1. nahrát."
"Method ""%1"" is not defined in ""%2""","Metoda ""%1"" není definována v ""%2"""
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","Zapamatovat"
"What's this?","Co to znamená?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Zvolíte-li ""Zapamatovat"", máte z tohoto počítače přístup ke svému košíku, i pokud nejste přihlášeni."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in."
"Persistent Shopping Cart","Trvalý nákupní košík"
"General Options","Základní údaje"
"Enable Persistence","Zapnout trvalý košík"
"Persistence Lifetime (seconds)","Životnost trvalého košíku (vteřiny)"
"Enable ""Remember Me""","Zapnout ""Zapamatovat"""
"""Remember Me"" Default Value","Výchozí hodnota ""Zapamatovat"""
"Clear Persistence on Sign Out","Trvalý košík odhlášením smazat"
"Persist Shopping Cart","Trvalý nákupní košík"
"&nbsp;","&nbsp;"
