"Not you?","Inte du?"
"Your shopping cart has been updated with new prices.","Din kundvagn har uppdaterats med nya priser."
"Welcome, %1!","Välkommen, %1!"
"We cannot load the configuration from file %1.","Vi kan inte läsa in konfigurationen från filen %1."
"Method ""%1"" is not defined in ""%2""","Metoden ""%1"" definieras inte i ""%2"""
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","Kom ihåg mig"
"What's this?","Vad är detta?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Kontrollera ""Kom ihåg mig"" för att komma åt din varukorg på datorn även om du inte är inloggad."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Markera ""Kom ihåg mig"" för att komma åt din varukorg på datorn även om du inte är inloggad."
"Persistent Shopping Cart","Persisterande kundvagn"
"General Options","Allmänna inställningar"
"Enable Persistence","Aktivera beständighet"
"Persistence Lifetime (seconds)","Persistens livstid (sekunder)"
"Enable ""Remember Me""","Aktivera ""Kom ihåg mig"""
"""Remember Me"" Default Value","""Kom ihåg mig"" standardvärdet"
"Clear Persistence on Sign Out","Töm persistens på Logga ut"
"Persist Shopping Cart","Persisterande"
"&nbsp;","&nbsp;"
