"Not you?","Nicht Sie?"
"Your shopping cart has been updated with new prices.","Ihr Warenkorb wurde mit neuen Preisen aktualisiert."
"Welcome, %1!","Willkommen, %1!"
"We cannot load the configuration from file %1.","Die Konfiguration von Datei %1 kann nicht geladen werden."
"Method ""%1"" is not defined in ""%2""","Methode ""%1"" ist nicht definiert in ""%2"""
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","Angemeldet bleiben"
"What's this?","Was ist das?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Kreuzen Sie &quot;Remember Me&quot; an, um auf diesem Computer angemeldet zu bleiben und künftig Ihren Warenkorb anzusehen ohne sich anzumelden."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Aktivieren Sie 'Angemeldet bleiben', um von diesem Computer auf Ihren Warenkorb zugreifen, auch wenn Sie nicht angemeldet sind."
"Persistent Shopping Cart","Persistenter Warenkorb"
"General Options","Allgemeine Optionen"
"Enable Persistence","Sitzungsdatenspeicherung aktivieren"
"Persistence Lifetime (seconds)","Persistenz Gültigkeitsdauer (Sekunden)"
"Enable ""Remember Me""","Aktivieren Sie ""Angemeldet bleiben"""
"""Remember Me"" Default Value","Standardwert ""Angemeldet bleiben"""
"Clear Persistence on Sign Out","Lösche Sitzungsdaten beim Abmelden"
"Persist Shopping Cart","Persistenter Warenkorb"
"&nbsp;","&nbsp;"
