"Not you?","Bukan Anda?"
"Your shopping cart has been updated with new prices.","Keranjang belanja Anda telah diperbarui dengan harga baru."
"Welcome, %1!","Selamat datang, %1!"
"We cannot load the configuration from file %1.","Kami tidak dapat memuat konfigurasi dari file %1."
"Method ""%1"" is not defined in ""%2""","Metode ""%1"" tidak didefinisikan dalam ""%2"""
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","Ingatkan Saya"
"What's this?","Apakah ini?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Periksa &quot; Ingat saya&quot; untuk mengakses keranjang belanja Anda di komputer ini meskipun Anda tidak masuk."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Centang 'Ingat Saya' untuk mengakses keranjang belanja Anda di komputer ini meskipun Anda tidak masuk."
"Persistent Shopping Cart","Persistent Shopping Cart"
"General Options","Pilihan Umum"
"Enable Persistence","Enable Persistence"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Enable ""Remember Me""","Aktifkan ""Ingat Saya"""
"""Remember Me"" Default Value","""Remember Me"" Default Value"
"Clear Persistence on Sign Out","Clear Persistence on Sign Out"
"Persist Shopping Cart","Daftar Belanja Tetap"
"&nbsp;","&nbsp;"
