"Not you?","Sen değil misin?"
"Your shopping cart has been updated with new prices.","Alışveriş sepeti yeni fiyatlar ile güncellendi."
"Welcome, %1!","Hoş Geldin, %1!"
"We cannot load the configuration from file %1.","Yapılandırmayı %1 dosyasından yükleyemiyoruz."
"Method ""%1"" is not defined in ""%2""","""%1"" yöntemi ""%2"" yöntemi içinde tanımlanmadı"
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","Beni Hatırla"
"What's this?","Bu nedir?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","&quot;Beni hatırla &quot; oturum açmadıysanız bile bu bilgisayardaki alışveriş sepetinize erişmek için."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Oturum açık olmasa da bu bilgisayardaki alışveriş sepetinize erişmek için 'beni hatırla' ya tıklayın."
"Persistent Shopping Cart","Kalıcı Sepet"
"General Options","Genel Seçenekler"
"Enable Persistence","Kalıcı Oturum özelliğini aç"
"Persistence Lifetime (seconds)","Kalıcı Oturum Süresi (saniye)"
"Enable ""Remember Me""","""Beni Hatırla"" özelliğini aç"
"""Remember Me"" Default Value","""Beni Hatırla"" Varsayılan Değer"
"Clear Persistence on Sign Out","Çıkış yapılınca kalıcı oturumu temizle"
"Persist Shopping Cart","Kalıcı Sepet"
"&nbsp;","&nbsp;"
