"Not you?","Nem Ön az?"
"Your shopping cart has been updated with new prices.","Az Ön kosara frissítve lett az új árakra."
"Welcome, %1!","Üdvözlet %1!"
"We cannot load the configuration from file %1.","Nem sikerült betölteni a konfigurációt a %1 fájlból."
"Method ""%1"" is not defined in ""%2""","A ""%1"" metódus nincs definiálva ""%2""-ben"
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","Emlékezz rám"
"What's this?","Mi ez?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Kattinsta be a &quot;Emlékezz rám&quot; mezőt, hogy akkor is elérje kosarát, amikor nincs bejelentkezve."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Kattintsa be az 'Emlékezz rám' mezőt, hogy akkor is elérje kosarát, amikor nincs bejelentkezve."
"Persistent Shopping Cart","Adatmegőrző kosár"
"General Options","Általános beállítások"
"Enable Persistence","Adatmegőrzés bekapcsolása"
"Persistence Lifetime (seconds)","Adatok megőrzésének időtartama (másodperc)"
"Enable ""Remember Me""","""Emlékezz rám"" engedélyezése"
"""Remember Me"" Default Value","""Jegyezzen meg"" Alapértelmezett érték"
"Clear Persistence on Sign Out","Megőrzött adatok törlése kijelentkezéskor"
"Persist Shopping Cart","Kosár tartalmának megőrzése"
"&nbsp;","&nbsp;"
