"Not you?","Nu sunteți dumneavoastră?"
"Your shopping cart has been updated with new prices.","Coșul dumneavoastră de cumpărături a fost actualizat cu prețuri noi."
"Welcome, %1!","Bine ați venit, %1!"
"We cannot load the configuration from file %1.","Nu se poate încărca configurația din fișierul %1."
"Method ""%1"" is not defined in ""%2""","Modalitatea ""%1"" nu este definită în ""%2"""
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","Memorare parolă"
"What's this?","Ce este aceasta?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Verificați &quot;Memorează parola&quot; pentru a accesa coșul dumneavoastră de cumpărături de la acest computer, chiar dacă nu sunteți conectat."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in."
"Persistent Shopping Cart","Coș de cumpărături durabil"
"General Options","Opțiuni generale"
"Enable Persistence","Activare durabilitate"
"Persistence Lifetime (seconds)","Termen durabilitate (secunde)"
"Enable ""Remember Me""","Activați ""Memorare parolă"""
"""Remember Me"" Default Value","Valoare Implicită""Memorare parolă"""
"Clear Persistence on Sign Out","ștergeți durabilitatea la Deconectare"
"Persist Shopping Cart","Mențineți Coșul de Cumpărături"
"&nbsp;","&nbsp;"
