"Not you?","Bent u het niet?"
"Your shopping cart has been updated with new prices.","Uw winkelwagen is bijgewerkt met de nieuwe prijzen."
"Welcome, %1!","Welkom, %1!"
"We cannot load the configuration from file %1.","Het is niet mogelijk om de configuratie van bestand %1 te laden."
"Method ""%1"" is not defined in ""%2""","Methode ""%1"" is niet gedefinieerd in ""%2"""
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","Onthoud mij"
"What's this?","Wat is dit?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Vink &quot;Onthoud mij&quot; om uw winkelwagen op deze computer te raadplegen, ook als u niet ingelogd bent."
"Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.","Vink 'Onthoud mij' aan om uw winkelwagen op deze computer in te zien, ook als u niet bent ingelogd."
"Persistent Shopping Cart","Winkelwagen volgen"
"General Options","Algemene Opties"
"Enable Persistence","Activeer het volgen van de winkelwagen"
"Persistence Lifetime (seconds)","Levensduur in seconden"
"Enable ""Remember Me""","Activeer ""Onthoud mij"""
"""Remember Me"" Default Value","""Onthoud mij"" Standaardwaarde"
"Clear Persistence on Sign Out","Bij afmelden ""aangemeld blijven"" verwijderen"
"Persist Shopping Cart","Winkelwagen volgen"
"&nbsp;","&nbsp;"
