"Persist Wish List","Kívánságlista megőrzése"
"Persist Recently Ordered Items","Nemrég rendelet elemek megőrzése"
"Persist Currently Compared Products","Éppen összehasonlított termékek megőrzése"
"Persist Comparison History","Összehasonlítása előzmények megőrzése"
"Persist Recently Viewed Products","Nemrég megtekintett termékek megőrzése"
"Persist Customer Group Membership and Segmentation","Vásárlói csoport tagság és szegmentáció megőrzése"
