"Persist Wish List","الإستمرارفي قائمة الأمنيات"
"Persist Recently Ordered Items","ما زالت قائمة الأصناف المطلوبة مؤخرا"
"Persist Currently Compared Products","تستمر حاليا بالمقارنة مع المنتجات"
"Persist Comparison History","تستمر مقارنة التاريخ"
"Persist Recently Viewed Products","المنتجات المشاهدة حديثا"
"Persist Customer Group Membership and Segmentation","تستمر عضوية مجموعة العملاء وتجزئة"
