"Persist Wish List","Mantener favoritos"
"Persist Recently Ordered Items","Mantener los artículos recientemente ordenados"
"Persist Currently Compared Products","Mantener productos actualmente en comparación"
"Persist Comparison History","Mantener historial de comparación"
"Persist Recently Viewed Products","Mantener los artículos recientemente vistos"
"Persist Customer Group Membership and Segmentation","Mantener Membresía de Grupo de Clientes y Segmentación"
