"Persist Wish List","لیست علاقه مندی ماندگار"
"Persist Recently Ordered Items","موارد اخیرا سفارش داده شده را نگه دارید"
"Persist Currently Compared Products","محصولات اخیرا مقایسه شده را نگه دارید"
"Persist Comparison History","تاریخچه مقایسه را نگه دارید"
"Persist Recently Viewed Products","محصولات اخیرا مشاهده شده را نگه دارید"
"Persist Customer Group Membership and Segmentation","عضویت در گروه مشتری و تقسیم بندی را نگه دارید"
