"Persist Wish List","Persistenza lista desideri"
"Persist Recently Ordered Items","Persistenza prodotti ordinati di recente"
"Persist Currently Compared Products","Persistenza prodotti confrontati attualmente"
"Persist Comparison History","Persistenza Cronologia confronto"
"Persist Recently Viewed Products","Persistenza prodotti visti di recente"
"Persist Customer Group Membership and Segmentation","Appartenenza gruppo cliente persistente e segmentazione"
