"Persist Wish List","Επίμονη λίστα επιθυμιών"
"Persist Recently Ordered Items","Επίμονα Πρόσφατα Παραγγελθέντα Προϊόντα"
"Persist Currently Compared Products","Επίμονες Επι του Παρόντος Συγκρίσεις Προϊόντων"
"Persist Comparison History","Επίμονα Ιστορικά Συγκρίσεων"
"Persist Recently Viewed Products","Επίμονα Πρόσφατα Προβεβλημένα Προϊόντα"
"Persist Customer Group Membership and Segmentation","Επίμονες Ιδιότητες Ομάδας Μελών και Κατατμίσεις"
