"Persist Wish List","Trwały schowek"
"Persist Recently Ordered Items","Zachowuj ostatnio zamówione produkty"
"Persist Currently Compared Products","Zachowuj aktualnie porównywane produkty"
"Persist Comparison History","Zachowuj historię porównań"
"Persist Recently Viewed Products","Zachowuj ostatnio przeglądane produkty"
"Persist Customer Group Membership and Segmentation","Zachowuj przynależność klienta do grupy klientów oraz segmentację klientów"
