"Persist Wish List","Behoud verlanglijstje"
"Persist Recently Ordered Items","Houd recent bestelde producten aan"
"Persist Currently Compared Products","Houd huidig vergeleken producten aan"
"Persist Comparison History","Houd vergelijkingshistorie aan"
"Persist Recently Viewed Products","Houd recent bekeken producten aan"
"Persist Customer Group Membership and Segmentation","Houd klantgroep lidmaatschap en segmentatie aan"
