"Persist Wish List","Persistir Lista de Desejos"
"Persist Recently Ordered Items","Persistir Itens Encomendados Recentemente"
"Persist Currently Compared Products","Persistir Produtos Atualmente em Comparação"
"Persist Comparison History","Persistir Histórico de Comparação"
"Persist Recently Viewed Products","Persistir Produtos Visualizados Recentemente"
"Persist Customer Group Membership and Segmentation","Persistir a Associação e Segmentação de Grupos de Cliente"
