"Persist Wish List","המועדפים במצב התמדה"
"Persist Recently Ordered Items","משוך את הפריטים שהוזמנו שלאחרונה"
"Persist Currently Compared Products","התמדה למוצרים הנוכחים להשוואה"
"Persist Comparison History","היסטורית השוואה תמידית"
"Persist Recently Viewed Products","מוצרים שניצפו לאחרונה תמידים"
"Persist Customer Group Membership and Segmentation","מועדון חברים של קבוצת לקוחות ופילוח תמידיים"
