"Change Billing Address","Endre faktureringsadresse"
"Ship to Multiple Addresses","Send til flere adresser"
"Billing Information - %1","Faktureringsinformasjon - %1"
"Review Order - %1","Gå igjennom ordren - %1"
"Total","Totalt"
"Total for this address","Totalt for denne adressen"
"Shipping Methods","Leveringsmåte"
"Edit Address","Rediger adresse"
"Edit Billing Address","Redigere leveringsadresse"
"Edit Shipping Address","Redigere leveringsadresse"
"Create Billing Address","Opprette faktureringsadresse"
"Create Shipping Address","Opprette leveringsadresse"
"Data saving problem","Data lagring problem"
"We cannot open the overview page.","Vi kan ikke åpne oversiktssiden."
"Please agree to all Terms and Conditions before placing the order.","Vennligst godta alle vilkår og betingelser før bestilling."
"Order place error","Order place error"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maksimalt antall tillatt for levering til flere adresser er %1"
"Please check shipping address information.","Please check shipping address information."
"Please check billing address information.","Please check billing address information."
"Please select shipping methods for all addresses.","Please select shipping methods for all addresses."
"A payment method is not defined.","A payment method is not defined."
"The requested payment method is not available for multishipping.","The requested payment method is not available for multishipping."
"Item not found or already ordered","Item not found or already ordered"
"Please specify a payment method.","Please specify a payment method."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Some addresses cannot be used due to country-specific configurations.","Some addresses cannot be used due to country-specific configurations."
"Quote address for failed order not found.","Quote address for failed order not found."
"Exception for failed order not found.","Exception for failed order not found."
"Select Addresses","Velg adresser"
"Shipping Information","Leveringsinformasjon"
"Billing Information","Fakturainformasjon"
"Place Order","Bestill"
"Order Success","Order Success"
"Order Results","Order Results"
"Default Billing","Standard fakturering"
"Default Shipping","Standard frakt"
"Select Address","Velg adresse"
"Add New Address","Legg til ny adresse"
"Back to Billing Information","Tilbake til faktureringsinformasjon"
"Please select a shipping address for applicable items.","Velg en leveringsadresse for varene."
"Product","Produkt"
"Qty","Antall"
"Send To","Send Til"
"A shipping selection is not applicable.","Fraktvalg er ikke tilgjengelig."
"Actions","Handlinger"
"Remove Item","Fjern produkt"
"Remove item","Fjern produkt"
"Go to Shipping Information","Gå til fraktinformasjon"
"Update Qty &amp; Addresses","Update Qty &amp; Addresses"
"Enter a New Address","Angi en ny adresse"
"Back to Shopping Cart","Tilbake til handlekurv"
"Loading...","Loading..."
"Billing Address","Faktureringsadresse"
"Change","Endre"
"Payment Method","Betalingsmåte"
"Go to Review Your Order","Go to Review Your Order"
"Back to Shipping Information","Tilbake til leveringsinformasjon"
"Other items in your order","Other items in your order"
"Edit Items","Rediger produkter"
"Shipping is not applicable.","Shipping is not applicable."
"Product Name","Produktnavn"
"Check Out with Multiple Addresses","Check Out with Multiple Addresses"
"Please see","Please see"
"details below","details below"
