"Change Billing Address","Verander Factuuradres"
"Ship to Multiple Addresses","Verzenden naar meerdere adressen"
"Billing Information - %1","Factuuradres - %1"
"Review Order - %1","Controleer bestelling - %1"
"Total","Totaal"
"Total for this address","Totaal voor dit adres"
"Shipping Methods","Verzendmethodes"
"Edit Address","Bewerk adres"
"Edit Billing Address","Factuuradres bewerken"
"Edit Shipping Address","Afleveradres bewerken"
"Create Billing Address","Factuuradres aanmaken"
"Create Shipping Address","Afleveradres aanmaken"
"Data saving problem","Probleem bij het opslaan van gegevens"
"We cannot open the overview page.","We kunnen de overzichtspagina niet openen."
"Please agree to all Terms and Conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst."
"Order place error","Fout bij plaatsen van bestelling"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximaal aantal voor verzenden naar verschillende adressen is %1"
"Please check shipping address information.","Controleer het verzendadres."
"Please check billing address information.","Controleer de gegevens van het factuuradres."
"Please select shipping methods for all addresses.","Selecteer verzendmethodes voor alle adressen."
"A payment method is not defined.","Betaalmethode is niet gedefinieerd."
"The requested payment method is not available for multishipping.","De gevraagde betaalwijze is niet beschikbaar voor verzending naar verschillende adressen."
"Item not found or already ordered","Artikel niet gevonden of reeds besteld"
"Please specify a payment method.","Geef de betaalmethode op."
"Please check shipping addresses information.","Controleer de verzendadressen."
"Please specify shipping methods for all addresses.","Geef verzendmethoden op voor alle adressen."
"Some addresses cannot be used due to country-specific configurations.","Sommige adressen kunnen niet worden gebruikt als gevolg van land-specifieke configuraties."
"Select Addresses","Adres selecteren"
"Shipping Information","Bezorg Informatie"
"Billing Information","Factuurinformatie"
"Place Order","Plaats bestelling"
"Order Success","Bestelling succes"
"Default Billing","Standaard Factuuradres"
"Default Shipping","Standaard verzendadres"
"Select Address","Kies een adres"
"Add New Address","Adres toevoegen"
"Back to Billing Information","Terug naar factuurinformatie"
"Please select a shipping address for applicable items.","Selecteer een verzendadres voor de geselecteerde producten."
"Product","Product"
"Qty","Aantal"
"Send To","Verzenden naar"
"A shipping selection is not applicable.","Verzendselectie is niet van toepassing."
"Actions","Acties"
"Remove Item","Product verwijderen"
"Remove item","Verwijder dit artikel"
"Go to Shipping Information","Ga naar verzendgegevens"
"Update Qty &amp; Addresses","Aantallen en adressen bijwerken"
"Enter a New Address","Voer een nieuw adres in"
"Back to Shopping Cart","Terug naar winkelwagen"
"Billing Address","Factuuradres"
"Change","Verander"
"Payment Method","Betaalmethode"
"Go to Review Your Order","Ga naar Valideer uw bestelling"
"Back to Shipping Information","Terug naar verzendinformatie"
"Other items in your order","Andere items in uw bestelling"
"Edit Items","Artikelen bewerken"
"Shipping is not applicable.","Verzending is niet van toepassing."
"Product Name","Product Naam"
"Check Out with Multiple Addresses","Afrekenen met meerdere adressen"
"Address %1 <span>of %2</span>","Adres %1 <span>van %2</span>"
"Shipping To","Verenden naar"
"Shipping Method","Bezorgmethode"
"Incl. Tax","Incl. BTW"
"Excl. Tax","Excl. BTW"
"Order Review","Controleer uw bestelling"
"Item","Product"
"Edit","Bewerken"
"Price","prijs"
"Subtotal","Subtotaal"
"Items","Producten"
"Grand Total:","Eindtotaal:"
"Submitting order information...","Informatie van de bestelling wordt opgeslagen..."
"Sorry, no quotes are available for this order right now.","Geen quotes gevonden voor deze bestelling."
"Continue to Billing Information","Ga verder naar factuurinformatie"
"Back to Select Addresses","Terug naar adressen selecteren"
"Thank you for your purchase!","Bedankt voor uw bestelling!"
"Thanks for your order. We'll email you order details and tracking information.","Bedankt voor uw bestelling. We emailen het detail van uw bestelling en tracking informatie."
"Your order numbers are: ","Uw bestelnummers zijn:"
"Your order number is: ","Uw bestelnummer is:"
"Continue Shopping","Ga verder met winkelen"
"We can't complete your order because you don't have a payment method set up.","We kunnen uw bestelling niet voltooien omdat u geen bestalingsmethode heeft ingesteld."
"Please choose a payment method.","Kies een betaalwijze."
"Multishipping Settings Section","Multishipping instellingen sectie"
"Multishipping Settings","Multishipping instellingen"
"Options","Opties"
"Allow Shipping to Multiple Addresses","Verzending naar meer adressen toestaan"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximaal aantal voor verzending naar meer adressen"
"Review Order","Controleer bestelling"
"Select Shipping Method","Kies een verzendmethode"
"The order was not successful!","The order was not successful!"
"Ship to:","Verzenden naar:"
"Error:","Fout:"
"We are unable to process your request. Please, try again later.","We zijn niet in staat om uw aanvraag te verwerken. Gelieve opnieuw te proberen."
"Quote address for failed order ID %1"" not found.""","Quote address for failed order ID %1"" not found."""
"The current cart does not match multi shipping criteria, please review or contact the store administrator","The current cart does not match multi shipping criteria, please review or contact the store administrator"
