"Change Billing Address","Skift faktureringsadresse"
"Ship to Multiple Addresses","Send til flere adresser"
"Billing Information - %1","Faktureringsoplysninger - %1"
"Review Order - %1","Gennemse ordre - %1"
"Total","I alt"
"Total for this address","Alt på denne adresse"
"Shipping Methods","Leveringsmetoder"
"Edit Address","Rediger adresse"
"Edit Billing Address","Rediger faktureringsadresse"
"Edit Shipping Address","Rediger leveringsadresse"
"Create Billing Address","Opret faktureringsadresse"
"Create Shipping Address","Opret forsendelsesadresse"
"Data saving problem","Data lagrings problem"
"We cannot open the overview page.","Vi kan ikke åbne oversigtssiden."
"Please agree to all Terms and Conditions before placing the order.","Venligst acceptér alle vilkår og betingelser inden du afgiver ordrer."
"Order place error","Fejl ved ordreafgivelse"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximum qty allowed for Shipping to multiple addresses is %1"
"Please check shipping address information.","Please check shipping address information."
"Please check billing address information.","Please check billing address information."
"Please select shipping methods for all addresses.","Please select shipping methods for all addresses."
"A payment method is not defined.","A payment method is not defined."
"The requested payment method is not available for multishipping.","The requested payment method is not available for multishipping."
"Item not found or already ordered","Item not found or already ordered"
"Please specify a payment method.","Please specify a payment method."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Some addresses cannot be used due to country-specific configurations.","Some addresses cannot be used due to country-specific configurations."
"Quote address for failed order not found.","Quote address for failed order not found."
"Exception for failed order not found.","Exception for failed order not found."
"Select Addresses","Vælg adresser"
"Shipping Information","Leveringsinformation"
"Billing Information","Faktureringsoplysninger"
"Place Order","Afgiv ordre"
"Order Success","Succesfuld afgivelse af ordre"
"Order Results","Order Results"
"Default Billing","Default Billing"
"Default Shipping","Standard forsendelse"
"Select Address","Vælg adresse"
"Add New Address","Tilføj ny adresse"
"Back to Billing Information","Tilbage til faktureringsoplysninger"
"Please select a shipping address for applicable items.","Vælg venligst en leveringsadresse for gældende varer."
"Product","Produkt"
"Qty","Antal"
"Send To","Send til"
"A shipping selection is not applicable.","Leveringsmetoden er ikke gældende."
"Actions","Handlinger"
"Remove Item","Fjern vare"
"Remove item","Fjern vare"
"Go to Shipping Information","Gå til leveringsadresse"
"Update Qty &amp; Addresses","Opdater antal &amp; adresser"
"Enter a New Address","Angiv en ny adresse"
"Back to Shopping Cart","Tilbage til indkøbskurv"
"Loading...","Loading..."
"Billing Address","Faktureringsadresse"
"Change","Skift"
"Payment Method","Betalingsmetode"
"Go to Review Your Order","Gå til gennemgang af ordre"
"Back to Shipping Information","Tilbage til leveringsadresse"
"Other items in your order","Andre varer i din ordre"
"Edit Items","Rediger varer"
"Shipping is not applicable.","Levering er ikke gyldig."
"Product Name","Produktnavn"
"Check Out with Multiple Addresses","Bestil til flere adresser"
"Please see","Please see"
"details below","details below"
"Address","Address"
"of","of"
"Shipping To","Levering til
"
"Shipping Method","Leveringsmetode"
"Incl. Tax","Inkl. moms"
"Excl. Tax","Ekskl. moms"
"Order Review","Ordreoversigt"
"Item","Vare"
"Edit","Redigér"
"Price","Pris"
"Subtotal","Subtotal"
"Items","Varer"
"Grand Total:","Ordretotal:"
"Submitting order information...","Indsender ordreoplysninger..."
"Not all items were included.","Not all items were included."
"For details, see","For details, see"
"Failed to Order","Failed to Order"
"section below","section below"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","For bestilte varer vil du modtage en ordrebekræftelsesmail, herunder ordrenumre, sporingsoplysninger og flere detaljer."
"Successfully Ordered","Købet er gennemført"
"No shipping required.","No shipping required."
"To purchase these items: Return to the","To purchase these items: Return to the"
"Review page in Checkout","Review page in Checkout"
"resolve any errors, and place a new order.","resolve any errors, and place a new order."
"Address %1 <span>of %2</span>","Adresse %1 <span>af %2</span>"
"Sorry, no quotes are available for this order right now.","Desværre, ingen produkter er tilgængelige for denne ordre i øjeblikket."
"Continue to Billing Information","Fortsæt til faktureringsoplysninger"
"Back to Select Addresses","Tilbage til vælg adresser"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","For bestilte varer vil du modtage en ordrebekræftelsesmail, herunder ordrenumre, sporingsoplysninger og flere detaljer."
"Successfully ordered","Købet er gennemført"
"Continue Shopping","Fortsæt med at shoppe"
"We can't complete your order because you don't have a payment method set up.","Vi kan ikke fuldføre bestillingen, fordi du ikke har en betalingsmetode, der er oprettet."
"Please choose a payment method.","Vælg venligst en betalingsmetode."
"Multishipping Settings Section","Multishipping Settings Section"
"Multishipping Settings","Multishipping Settings"
"Options","Valgmuligheder"
"Allow Shipping to Multiple Addresses","Allow Shipping to Multiple Addresses"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximum Qty Allowed for Shipping to Multiple Addresses"
"Review Order","Gennemse ordre"
"We could only complete part of your order.","We could only complete part of your order."
"We were unable to complete your order.","We were unable to complete your order."
"Select Shipping Method","Vælg leveringsmetode"
"Thank you for your purchase!","Tak for dit køb!"
"Thanks for your order. We'll email you order details and tracking information.","Thanks for your order. We'll email you order details and tracking information."
"Your order numbers are: ","Your order numbers are: "
"Your order number is: ","Your order number is: "
"We received your order!","We received your order!"
"We are unable to process your request. Please, try again later.","We are unable to process your request. Please, try again later."
"Ship to:","Leveres til:"
"Error:","Fejl:"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again."
"Verify the shipping address information and continue.","Verify the shipping address information and continue."
"Verify the billing address information and continue.","Verify the billing address information and continue."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Set shipping methods for all addresses. Verify the shipping methods and try again."
"A payment method isn't defined. Verify and try again.","A payment method isn't defined. Verify and try again."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","This payment method can't be used for shipping to multiple addresses. Change the payment method and try again."
"The item isn't found, or it's already ordered.","The item isn't found, or it's already ordered."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"Some addresses can't be used due to the configurations for specific countries.","Some addresses can't be used due to the configurations for specific countries."
