"Change Billing Address","Ändra faktureringsadress"
"Ship to Multiple Addresses","Leverera till flera adresser"
"Billing Information - %1","Faktureringsinformation - %1"
"Review Order - %1","Granska beställning - %1"
"Total","Summa"
"Total for this address","Totalt för denna adress"
"Shipping Methods","Fraktsätt"
"Edit Address","Redigera adress"
"Edit Billing Address","Redigera faktureringsadress"
"Edit Shipping Address","Redigera leveransadress"
"Create Billing Address","Skapa faktureringsadress"
"Create Shipping Address","Skapa leveransadress"
"Data saving problem","Problem med att spara data"
"We cannot open the overview page.","Vi kan inte öppna översiktssidan."
"Please agree to all Terms and Conditions before placing the order.","Vänligen godkänn köpvillkoren innan du genomför beställningen."
"Order place error","Ett fel uppstod vid hanteringen av din order"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximalt antal tillåtna för frakt till flera adresser är %1"
"Please check shipping address information.","Please check shipping address information."
"Please check billing address information.","Please check billing address information."
"Please select shipping methods for all addresses.","Please select shipping methods for all addresses."
"A payment method is not defined.","A payment method is not defined."
"The requested payment method is not available for multishipping.","The requested payment method is not available for multishipping."
"Item not found or already ordered","Item not found or already ordered"
"Please specify a payment method.","Please specify a payment method."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Some addresses cannot be used due to country-specific configurations.","Some addresses cannot be used due to country-specific configurations."
"Quote address for failed order not found.","Quote address for failed order not found."
"Exception for failed order not found.","Exception for failed order not found."
"Select Addresses","Välj adresser"
"Shipping Information","Leveransinformation"
"Billing Information","Faktureringsinformation"
"Place Order","Beställ"
"Order Success","Order Success"
"Order Results","Order Results"
"Default Billing","Default Billing"
"Default Shipping","Default Shipping"
"Select Address","Select Address"
"Add New Address","Lägg till ny adress"
"Back to Billing Information","Back to Billing Information"
"Please select a shipping address for applicable items.","Please select a shipping address for applicable items."
"Product","Produkt"
"Qty","Antal"
"Send To","Send To"
"A shipping selection is not applicable.","A shipping selection is not applicable."
"Actions","Åtgärder"
"Remove Item","Ta bort Artikel"
"Remove item","Ta bort artikel"
"Go to Shipping Information","Go to Shipping Information"
"Update Qty &amp; Addresses","Update Qty &amp; Addresses"
"Enter a New Address","Ange en ny adress"
"Back to Shopping Cart","Back to Shopping Cart"
"Loading...","Loading..."
"Billing Address","Faktureringsadress"
"Change","Ändra"
"Payment Method","Betalningsmetod"
"Go to Review Your Order","Go to Review Your Order"
"Back to Shipping Information","Back to Shipping Information"
"Other items in your order","Other items in your order"
"Edit Items","Edit Items"
"Shipping is not applicable.","Shipping is not applicable."
"Product Name","Produktnamn"
"Check Out with Multiple Addresses","Gå till Kassan med Flera Adresser"
"Please see","Please see"
"details below","details below"
"Address","Address"
"of","of"
"Shipping To","Shipping To"
"Shipping Method","Leveransmetod"
"Incl. Tax","Inkl. Moms"
"Excl. Tax","-Exkl. Moms"
"Order Review","Granska beställning"
"Item","Artikel"
"Edit","Redigera"
"Price","Pris"
"Subtotal","Delsumma"
"Items","Artiklar"
"Grand Total:","Grand Total:"
"Submitting order information...","Submitting order information..."
"Not all items were included.","Not all items were included."
"For details, see","For details, see"
"Failed to Order","Failed to Order"
"section below","section below"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details."
"Successfully Ordered","Successfully Ordered"
"No shipping required.","No shipping required."
"To purchase these items: Return to the","To purchase these items: Return to the"
"Review page in Checkout","Review page in Checkout"
"resolve any errors, and place a new order.","resolve any errors, and place a new order."
"Address %1 <span>of %2</span>","Address %1 <span>of %2</span>"
"Sorry, no quotes are available for this order right now.","Tyvärr finns inga offerter tillgängliga för den här beställningen just nu."
"Continue to Billing Information","Fortsätt till Faktureringsinformation"
"Back to Select Addresses","Back to Select Addresses"
