"Change Billing Address","Rechnungsanschrift ändern"
"Ship to Multiple Addresses","Ihre Bestellnummer lautet "
"Billing Information - %1","Zahlungsinformationen - %1"
"Review Order - %1","Bestellung prüfen - %1"
"Total","Gesamtsumme"
"Total for this address","Total für diese Adresse"
"Shipping Methods","Versandarten"
"Edit Address","Rechnungsadresse ändern"
"Edit Billing Address","Rechnungsanschrift bearbeiten"
"Edit Shipping Address","Lieferanschrift bearbeiten"
"Create Billing Address","Rechnungsanschrift anlegen"
"Create Shipping Address","Lieferanschrift anlegen"
"Data saving problem","Daten konnten nicht gespeichert werden"
"We cannot open the overview page.","Die Übersichtsseite kann nicht geöffnet werden."
"Please agree to all Terms and Conditions before placing the order.","Bitte akzeptieren Sie alle Geschäftsbedingungen bevor Sie Ihre Bestellung aufgeben."
"Order place error","Fehler beim Aufgeben der Bestellung"
"Maximum qty allowed for Shipping to multiple addresses is %1","Die maximal erlaubte Menge für den Versand an mehrere Adressen ist %1"
"Please check shipping address information.","Überprüfen Sie bitte die Lieferadresseninformation."
"Please check billing address information.","Bitte überprüfen Sie die Rechnungsadresse."
"Please select shipping methods for all addresses.","Bitte wählen Sie Versandmethoden für alle Adressen."
"A payment method is not defined.","Eine Zahlungsmethode ist nicht definiert."
"The requested payment method is not available for multishipping.","Die aufgerufene Zahlungsmethode ist für Multishipping nicht verfügbar."
"Item not found or already ordered","Artikel nicht gefunden oder schon bestellt"
"Please specify a payment method.","Bitte geben Sie eine Zahlungsart an."
"Please check shipping addresses information.","Bitte überprüfen Sie die Lieferadressinformationen."
"Please specify shipping methods for all addresses.","Bitte geben Sie Versandmethoden für alle Adressen an."
"Some addresses cannot be used due to country-specific configurations.","Einige Adressen konnten aufgrund länderspezifischer Konfigurationen nicht verwendet werden."
"Quote address for failed order not found.","Angebotsadresse für fehlgeschlagene Bestellung nicht gefunden."
"Exception for failed order not found.","Ausnahme für fehlgeschlagene Bestellung nicht gefunden."
"Select Addresses","Adressen wählen"
"Shipping Information","Versandinformation"
"Billing Information","Bestellübersicht"
"Place Order","Jetzt kaufen"
"Order Success","Bestell-Erfolg"
"Order Results","Bestellungs-Suchergebnisse"
"Default Billing","Standardrechnung"
"Default Shipping","Standard-Versand"
"Select Address","Adresse auswählen"
"Add New Address","Neue Adresse hinzufügen"
"Back to Billing Information","Zurück zu den Rechnungsinformationen"
"Please select a shipping address for applicable items.","Bitte wählen Sie eine Lieferadresse für die gewählten Artikel."
"Product","Produkt"
"Qty","Menge"
"Send To","Senden an"
"A shipping selection is not applicable.","Eine Versandauswahl entfällt."
"Actions","Aktionen"
"Remove Item","Artikel entfernen"
"Remove item","Artikel entfernen"
"Go to Shipping Information","Gehe zu den Versandinformationen"
"Update Qty &amp; Addresses","Anzahl &amp; Adressen aktualisieren"
"Enter a New Address","Geben Sie eine neue Adresse ein"
"Back to Shopping Cart","Zurück zum Warenkorb"
"Loading...","Wird geladen …"
"Billing Address","Rechnungsadresse"
"Change","Ändern"
"Payment Method","Zahlungsart"
"Go to Review Your Order","Ihre Bestellung überprüfen"
"Back to Shipping Information","Zurück zu den Versandinformationen"
"Other items in your order","Andere Artikel in Ihrer Bestellung"
"Edit Items","Artikel bearbeiten"
"Shipping is not applicable.","Versand wird nicht erhoben."
"Product Name","Artikelname"
"Check Out with Multiple Addresses","Checkout mit mehreren Adressen"
"Please see","Siehe"
"details below","Details siehe unten"
"Address","Adresse"
"of","von"
"Shipping To","Versand an "
"Shipping Method","Versandart"
"Incl. Tax","Inkl. MwSt."
"Excl. Tax","Exkl. Steuern"
"Order Review","Bestellübersicht"
"Item","Artikel"
"Edit","Bearbeiten"
"Price","Preis"
"Subtotal","Zwischensumme"
"Items","Artikel"
"Grand Total:","Gesamtsumme:"
"Submitting order information...","Bestellung wird übermittelt …"
"Not all items were included.","Nicht alle Elemente wurden einbezogen."
"For details, see","Für Details siehe"
"Failed to Order","Bestellung fehlgeschlagen"
"section below","Bereich unten"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","Für erfolgreich bestellte Artikel erhalten Sie eine Bestätigungs-E-Mail mit Bestellnummern, Tracking-Informationen und weiteren Details."
"Successfully Ordered","Erfolgreich bestellt"
"No shipping required.","Kein Versand erforderlich."
"To purchase these items: Return to the","Um diese Artikel zu kaufen: Zurück zu"
"Review page in Checkout","Überprüfungsseite im Bestellablauf"
"resolve any errors, and place a new order.","Beheben Sie alle Fehler und geben Sie eine neue Bestellung auf."
"Address %1 <span>of %2</span>","Addresse %1 <span>von %2</span>"
"Sorry, no quotes are available for this order right now.","Zur Zeit sind leider keine Angebote für diese Bestellung verfügbar."
"Continue to Billing Information","Weiter zu Rechnungsinformationen"
"Back to Select Addresses","Zurück zur Adressenauswahl"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","Für erfolgreich bestellte Artikel erhalten Sie eine Bestätigungs-E-Mail mit Bestellnummern, Tracking-Informationen und weiteren Details."
"Successfully ordered","Erfolgreich bestellt"
"Continue Shopping","Einkauf fortsetzen"
"We can't complete your order because you don't have a payment method set up.","Ihre Bestellung kann nicht abgeschlossen werden, weil Sie keine Zahlungsart eingerichtet haben."
"Please choose a payment method.","Bitte wählen Sie eine Zahlungsart."
"Multishipping Settings Section","Abschnitt Multishipping Einstellungen"
"Multishipping Settings","Multishipping Einstellungen"
"Options","Optionen"
"Allow Shipping to Multiple Addresses","Lieferung an mehrere Adressen erlauben"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximal erlaubte Menge für Versand an mehrere Adressen"
"Review Order","Bestellung überprüfen"
"We could only complete part of your order.","Wir konnten nur einen Teil Ihrer Bestellung abschließen."
"We were unable to complete your order.","Wir konnten Ihre Bestellung nicht abschließen."
"Select Shipping Method","Versandart wählen"
"Thank you for your purchase!","Vielen Dank für Ihre Bestellung!"
"Thanks for your order. We'll email you order details and tracking information.","Vielen Dank für Ihre Bestellung. Wir schicken Ihnen Bestelldetails und Sendeverfolgungs-Informationen per E-Mail."
"Your order numbers are: ","Ihre Bestellnummern lauten:"
"Your order number is: ","Ihre Bestellnummer lautet:"
"We received your order!","Wir haben Ihre Bestellung erhalten!"
"We are unable to process your request. Please, try again later.","Wir können Ihre Anfrage nicht bearbeiten. Bitte versuchen Sie es später erneut."
"Ship to:","Versand an:"
"Error:","Fehler:"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","Die maximale Menge kann nicht mehr als %1 sein, wenn der Versand an mehrere Adressen erfolgt. Ändern Sie die Menge und versuchen Sie es erneut."
"Verify the shipping address information and continue.","Überprüfen Sie die Lieferadressen-Informationen und fahren Sie fort."
"Verify the billing address information and continue.","Überprüfen Sie die Rechnungsadressen-Informationen und fahren Sie fort."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Legen Sie Versandarten für alle Adressen fest. Überprüfen Sie die Versandarten und versuchen Sie es erneut."
"A payment method isn't defined. Verify and try again.","Eine Zahlungsmethode wurde nicht definiert. Überprüfen und erneut versuchen."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","Diese Zahlungsmethode kann nicht für die Versand an mehrere Adressen verwandt werden. Ändern Sie die Zahlungsmethode und versuchen Sie es erneut."
"The item isn't found, or it's already ordered.","Das Element wird nicht gefunden oder ist bereits bestellt."
"The payment method isn't selected. Enter the payment method and try again.","Die Zahlungsmethode ist nicht ausgewählt. Geben Sie eine Zahlungsmethode ein und versuchen Sie es erneut."
"Some addresses can't be used due to the configurations for specific countries.","Einige Adressen können aufgrund der Konfigurationen für bestimmte Länder nicht verwendet werden."
