"Change Billing Address","Verander Factuuradres"
"Ship to Multiple Addresses","Verzenden naar meerdere adressen"
"Billing Information - %1","Factuuradres - %1"
"Review Order - %1","Controleer bestelling - %1"
"Total","Totaal"
"Total for this address","Totaal voor dit adres"
"Shipping Methods","Verzendmethodes"
"Edit Address","Bewerk adres"
"Edit Billing Address","Factuuradres bewerken"
"Edit Shipping Address","Afleveradres bewerken"
"Create Billing Address","Factuuradres aanmaken"
"Create Shipping Address","Afleveradres aanmaken"
"Data saving problem","Probleem bij het opslaan van gegevens"
"We cannot open the overview page.","We kunnen de overzichtspagina niet openen."
"Please agree to all Terms and Conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst."
"Order place error","Fout bij plaatsen van bestelling"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximaal aantal voor verzenden naar verschillende adressen is %1"
"Please check shipping address information.","Please check shipping address information."
"Please check billing address information.","Please check billing address information."
"Please select shipping methods for all addresses.","Please select shipping methods for all addresses."
"A payment method is not defined.","A payment method is not defined."
"The requested payment method is not available for multishipping.","The requested payment method is not available for multishipping."
"Item not found or already ordered","Item not found or already ordered"
"Please specify a payment method.","Please specify a payment method."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Some addresses cannot be used due to country-specific configurations.","Some addresses cannot be used due to country-specific configurations."
"Quote address for failed order not found.","Quote address for failed order not found."
"Exception for failed order not found.","Exception for failed order not found."
"Select Addresses","Adres selecteren"
"Shipping Information","Bezorg Informatie"
"Billing Information","Factuurinformatie"
"Place Order","Plaats bestelling"
"Order Success","Bestelling succes"
"Order Results","Order Results"
"Default Billing","Standaard Factuuradres"
"Default Shipping","Standaard verzendadres"
"Select Address","Kies een adres"
"Add New Address","Adres toevoegen"
"Back to Billing Information","Terug naar factuurinformatie"
"Please select a shipping address for applicable items.","Selecteer een verzendadres voor de geselecteerde producten."
"Product","Product"
"Qty","Aantal"
"Send To","Verzenden naar"
"A shipping selection is not applicable.","Verzendselectie is niet van toepassing."
"Actions","Acties"
"Remove Item","Product verwijderen"
"Remove item","Verwijder dit artikel"
"Go to Shipping Information","Ga naar verzendgegevens"
"Update Qty &amp; Addresses","Aantallen en adressen bijwerken"
"Enter a New Address","Voer een nieuw adres in"
"Back to Shopping Cart","Terug naar winkelwagen"
"Loading...","Loading..."
"Billing Address","Factuuradres"
"Change","Verander"
"Payment Method","Betaalmethode"
"Go to Review Your Order","Ga naar Valideer uw bestelling"
"Back to Shipping Information","Terug naar verzendinformatie"
"Other items in your order","Andere items in uw bestelling"
"Edit Items","Artikelen bewerken"
"Shipping is not applicable.","Verzending is niet van toepassing."
"Product Name","Product Naam"
"Check Out with Multiple Addresses","Afrekenen met meerdere adressen"
"Please see","Please see"
"details below","details below"
"Address","Address"
"of","of"
"Shipping To","Verenden naar"
"Shipping Method","Bezorgmethode"
"Incl. Tax","Incl. BTW"
"Excl. Tax","Excl. BTW"
"Order Review","Controleer uw bestelling"
"Item","Product"
"Edit","Bewerken"
"Price","prijs"
"Subtotal","Subtotaal"
"Items","Producten"
"Grand Total:","Eindtotaal:"
"Submitting order information...","Informatie van de bestelling wordt opgeslagen..."
"Not all items were included.","Not all items were included."
"For details, see","For details, see"
"Failed to Order","Failed to Order"
"section below","section below"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details."
"Successfully Ordered","Successfully Ordered"
"No shipping required.","No shipping required."
"To purchase these items: Return to the","To purchase these items: Return to the"
"Review page in Checkout","Review page in Checkout"
"resolve any errors, and place a new order.","resolve any errors, and place a new order."
"Address %1 <span>of %2</span>","Adres %1 <span>van %2</span>"
"Sorry, no quotes are available for this order right now.","Geen quotes gevonden voor deze bestelling."
"Continue to Billing Information","Ga verder naar factuurinformatie"
"Back to Select Addresses","Terug naar adressen selecteren"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details."
"Successfully ordered","Successfully ordered"
"Continue Shopping","Ga verder met winkelen"
"We can't complete your order because you don't have a payment method set up.","We kunnen uw bestelling niet voltooien omdat u geen bestalingsmethode heeft ingesteld."
"Please choose a payment method.","Kies een betaalwijze."
"Multishipping Settings Section","Multishipping instellingen sectie"
"Multishipping Settings","Multishipping instellingen"
"Options","Opties"
"Allow Shipping to Multiple Addresses","Verzending naar meer adressen toestaan"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximaal aantal voor verzending naar meer adressen"
"Review Order","Controleer bestelling"
"We could only complete part of your order.","We could only complete part of your order."
"We were unable to complete your order.","We were unable to complete your order."
"Select Shipping Method","Kies een verzendmethode"
"Thank you for your purchase!","Bedankt voor uw bestelling!"
"Thanks for your order. We'll email you order details and tracking information.","Thanks for your order. We'll email you order details and tracking information."
"Your order numbers are: ","Your order numbers are: "
"Your order number is: ","Your order number is: "
"We received your order!","We received your order!"
"We are unable to process your request. Please, try again later.","We zijn niet in staat om uw aanvraag te verwerken. Gelieve opnieuw te proberen."
"Ship to:","Verzenden naar:"
"Error:","Fout:"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again."
"Verify the shipping address information and continue.","Verify the shipping address information and continue."
"Verify the billing address information and continue.","Verify the billing address information and continue."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Set shipping methods for all addresses. Verify the shipping methods and try again."
"A payment method isn't defined. Verify and try again.","A payment method isn't defined. Verify and try again."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","This payment method can't be used for shipping to multiple addresses. Change the payment method and try again."
"The item isn't found, or it's already ordered.","The item isn't found, or it's already ordered."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"Some addresses can't be used due to the configurations for specific countries.","Some addresses can't be used due to the configurations for specific countries."
