"Change Billing Address","Mengubah Alamat Billing"
"Ship to Multiple Addresses","Mengirimkan ke Beberapa Alamat"
"Billing Information - %1","Informasi Penagihan - %1"
"Review Order - %1","Tinjau Pesanan -%1"
"Total","Jumlah"
"Total for this address","Total untuk alamat ini"
"Shipping Methods","Metode Pengiriman"
"Edit Address","Edit alamat"
"Edit Billing Address","Edit Alamat Penagihan"
"Edit Shipping Address","Edit Shipping Address"
"Create Billing Address","Buat Alamat Penagihan"
"Create Shipping Address","Buat Alamat Pengiriman"
"Data saving problem","Data penyimpanan bermasalah"
"We cannot open the overview page.","We cannot open the overview page."
"Please agree to all Terms and Conditions before placing the order.","Silahkan setujui semua persyaratan dan ketentuan sebelum melakukan pemesanan."
"Order place error","Order place error"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximum qty allowed for Shipping to multiple addresses is %1"
"Please check shipping address information.","Please check shipping address information."
"Please check billing address information.","Please check billing address information."
"Please select shipping methods for all addresses.","Please select shipping methods for all addresses."
"A payment method is not defined.","A payment method is not defined."
"The requested payment method is not available for multishipping.","The requested payment method is not available for multishipping."
"Item not found or already ordered","Item not found or already ordered"
"Please specify a payment method.","Please specify a payment method."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Some addresses cannot be used due to country-specific configurations.","Some addresses cannot be used due to country-specific configurations."
"Quote address for failed order not found.","Quote address for failed order not found."
"Exception for failed order not found.","Exception for failed order not found."
"Select Addresses","Pilih Alamat"
"Shipping Information","Informasi Pengiriman"
"Billing Information","Informasi Penagihan"
"Place Order","Tempat Pesanan"
"Order Success","Pemesanan Sukses"
"Order Results","Order Results"
"Default Billing","Default Billing"
"Default Shipping","Default Shipping"
"Select Address","Pilih Alamat"
"Add New Address","Tambahkan alamat baru"
"Back to Billing Information","Kembali ke Informasi Penagihan"
"Please select a shipping address for applicable items.","Silahkan pilih alamat pengiriman untuk barang yang berlaku."
"Product","Produk"
