"Change Billing Address","Rechnungsanschrift ändern"
"Ship to Multiple Addresses","Ihre Bestellnummer lautet "
"Billing Information - %1","Zahlungsinformationen - %1"
"Review Order - %1","Bestellung prüfen - %1"
"Total","Gesamtsumme"
"Total for this address","Total für diese Adresse"
"Shipping Methods","Versandarten"
"Edit Address","Adresse bearbeiten"
"Edit Billing Address","Rechnungsanschrift bearbeiten"
"Edit Shipping Address","Lieferanschrift bearbeiten"
"Create Billing Address","Rechnungsanschrift anlegen"
"Create Shipping Address","Lieferanschrift anlegen"
"Data saving problem","Daten konnten nicht gespeichert werden"
"We cannot open the overview page.","Die Übersichtsseite kann nicht geöffnet werden."
"Please agree to all Terms and Conditions before placing the order.","Bitte akzeptieren Sie alle Geschäftsbedingungen bevor Sie Ihre Bestellung aufgeben."
"Order place error","Fehler beim Aufgeben der Bestellung"
"Maximum qty allowed for Shipping to multiple addresses is %1","Die maximal erlaubte Menge für den Versand an mehrere Adressen ist %1"
"Please check shipping address information.","Please check shipping address information."
"Please check billing address information.","Please check billing address information."
"Please select shipping methods for all addresses.","Please select shipping methods for all addresses."
"A payment method is not defined.","A payment method is not defined."
"The requested payment method is not available for multishipping.","The requested payment method is not available for multishipping."
"Item not found or already ordered","Item not found or already ordered"
"Please specify a payment method.","Please specify a payment method."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Some addresses cannot be used due to country-specific configurations.","Some addresses cannot be used due to country-specific configurations."
"Quote address for failed order not found.","Quote address for failed order not found."
"Exception for failed order not found.","Exception for failed order not found."
"Select Addresses","Adressen wählen"
"Shipping Information","Versandinformation"
"Billing Information","Bestellübersicht"
"Place Order","Jetzt kaufen"
"Order Success","Bestell-Erfolg"
"Order Results","Order Results"
"Default Billing","Standardrechnung"
"Default Shipping","Standard-Versand"
"Select Address","Adresse auswählen"
"Add New Address","Neue Adresse hinzufügen"
"Back to Billing Information","Zurück zu den Rechnungsinformationen"
"Please select a shipping address for applicable items.","Bitte wählen Sie eine Lieferadresse für die gewählten Artikel."
"Product","Produkt"
"Qty","Menge"
"Send To","Senden an"
"A shipping selection is not applicable.","Eine Versandauswahl entfällt."
"Actions","Aktionen"
"Remove Item","Artikel entfernen"
"Remove item","Artikel entfernen"
"Go to Shipping Information","Gehe zu den Versandinformationen"
"Update Qty &amp; Addresses","Anzahl &amp; Adressen aktualisieren"
"Enter a New Address","Geben Sie eine neue Adresse ein"
"Back to Shopping Cart","Zurück zum Warenkorb"
"Loading...","Loading..."
"Billing Address","Rechnungsadresse"
"Change","Ändern"
"Payment Method","Zahlungsart"
"Go to Review Your Order","Ihre Bestellung überprüfen"
"Back to Shipping Information","Zurück zu den Versandinformationen"
"Other items in your order","Andere Artikel in Ihrer Bestellung"
"Edit Items","Artikel bearbeiten"
"Shipping is not applicable.","Versand wird nicht erhoben."
"Product Name","Artikelname"
"Check Out with Multiple Addresses","Checkout mit mehreren Adressen"
"Please see","Please see"
"details below","details below"
"Address","Address"
"of","of"
"Shipping To","Versand an "
"Shipping Method","Versandart"
"Incl. Tax","Inkl. MwSt."
"Excl. Tax","Exkl. Steuern"
"Order Review","Bestellübersicht"
"Item","Artikel"
"Edit","Bearbeiten"
"Price","Preis"
"Subtotal","Zwischensumme"
"Items","Artikel"
"Grand Total:","Gesamtsumme:"
"Submitting order information...","Bestellung wird übermittelt …"
"Not all items were included.","Not all items were included."
"For details, see","For details, see"
"Failed to Order","Failed to Order"
"section below","section below"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details."
"Successfully Ordered","Successfully Ordered"
"No shipping required.","No shipping required."
"To purchase these items: Return to the","To purchase these items: Return to the"
"Review page in Checkout","Review page in Checkout"
"resolve any errors, and place a new order.","resolve any errors, and place a new order."
"Address %1 <span>of %2</span>","Adresse %1 <span>von %2</span>"
"Sorry, no quotes are available for this order right now.","Zur Zeit sind leider keine Angebote für diese Bestellung verfügbar."
"Continue to Billing Information","Weiter zu Rechnungsinformationen"
"Back to Select Addresses","Zurück zur Adressenauswahl"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details."
"Successfully ordered","Successfully ordered"
"Continue Shopping","Einkauf fortsetzen"
"We can't complete your order because you don't have a payment method set up.","Ihre Bestellung kann nicht abgeschlossen werden, weil Sie keine Zahlungsart eingerichtet haben."
"Please choose a payment method.","Bitte wählen Sie eine Zahlungsart."
"Multishipping Settings Section","Abschnitt Multishipping Einstellungen"
"Multishipping Settings","Multishipping Einstellungen"
"Options","Optionen"
"Allow Shipping to Multiple Addresses","Lieferung an mehrere Adressen erlauben"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximal erlaubte Menge für Versand an mehrere Adressen"
"Review Order","Bestellung überprüfen"
"We could only complete part of your order.","We could only complete part of your order."
"We were unable to complete your order.","We were unable to complete your order."
"Select Shipping Method","Versandart wählen"
"Thank you for your purchase!","Vielen Dank für Ihre Bestellung!"
"Thanks for your order. We'll email you order details and tracking information.","Thanks for your order. We'll email you order details and tracking information."
"Your order numbers are: ","Your order numbers are: "
"Your order number is: ","Your order number is: "
"We received your order!","We received your order!"
"We are unable to process your request. Please, try again later.","Wir können Ihre Anfrage nicht bearbeiten. Bitte versuchen Sie es später erneut."
"Ship to:","Versand an:"
"Error:","Fehler:"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again."
"Verify the shipping address information and continue.","Verify the shipping address information and continue."
"Verify the billing address information and continue.","Verify the billing address information and continue."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Set shipping methods for all addresses. Verify the shipping methods and try again."
"A payment method isn't defined. Verify and try again.","A payment method isn't defined. Verify and try again."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","This payment method can't be used for shipping to multiple addresses. Change the payment method and try again."
"The item isn't found, or it's already ordered.","The item isn't found, or it's already ordered."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"Some addresses can't be used due to the configurations for specific countries.","Some addresses can't be used due to the configurations for specific countries."
